,Page Name,candidato,Total Interactions,Likes,Comments,Shares,Love,Angry,Total Interactions_Percentages,Likes_Percentages,Comments_Percentages,Shares_Percentages,Love_Percentages,Angry_Percentages
0,Agência Lusa,André Ventura,368,95,131,6,6,8,9.09,6.49,12.96,2.11,7.59,6.3
1,Agência Lusa,António Costa,2071,774,502,190,38,67,51.16,52.87,49.65,66.67,48.1,52.76
2,Agência Lusa,Catarina Martins,229,56,63,10,5,15,5.66,3.83,6.23,3.51,6.33,11.81
3,Agência Lusa,Francisco Rodrigues dos Santos,103,34,26,5,1,5,2.54,2.32,2.57,1.75,1.27,3.94
4,Agência Lusa,Inês Sousa-Real,42,18,2,1,0,3,1.04,1.23,0.2,0.35,0.0,2.36
5,Agência Lusa,Jerónimo de Sousa,86,51,9,4,3,0,2.12,3.48,0.89,1.4,3.8,0.0
6,Agência Lusa,João Cotrim Figueiredo,67,32,8,7,1,2,1.66,2.19,0.79,2.46,1.27,1.57
7,Agência Lusa,Rui Rio,1052,389,266,60,25,27,25.99,26.57,26.31,21.05,31.65,21.26
8,Agência Lusa,Rui Tavares,30,15,4,2,0,0,0.74,1.02,0.4,0.7,0.0,0.0
9,CM TV,André Ventura,5589,2120,2158,203,187,64,25.62,26.72,27.58,19.33,46.63,10.21
10,CM TV,António Costa,10368,3867,3748,576,135,309,47.53,48.74,47.9,54.86,33.67,49.28
11,CM TV,Catarina Martins,490,178,152,19,13,22,2.25,2.24,1.94,1.81,3.24,3.51
12,CM TV,Francisco Rodrigues dos Santos,50,14,19,1,1,0,0.23,0.18,0.24,0.1,0.25,0.0
13,CM TV,Inês Sousa-Real,363,111,149,8,15,6,1.66,1.4,1.9,0.76,3.74,0.96
14,CM TV,Jerónimo de Sousa,557,275,151,36,13,11,2.55,3.47,1.93,3.43,3.24,1.75
15,CM TV,João Cotrim Figueiredo,27,8,15,0,0,2,0.12,0.1,0.19,0.0,0.0,0.32
16,CM TV,Rui Rio,4365,1359,1430,207,37,213,20.01,17.13,18.28,19.71,9.23,33.97
17,CM TV,Rui Tavares,4,2,2,0,0,0,0.02,0.03,0.03,0.0,0.0,0.0
18,CNN Portugal,André Ventura,50471,13825,25605,2260,972,901,23.32,23.13,23.73,25.81,26.7,17.33
19,CNN Portugal,António Costa,75021,18536,38740,2686,1013,2095,34.66,31.01,35.91,30.68,27.83,40.3
20,CNN Portugal,Catarina Martins,10299,3072,4720,374,145,195,4.76,5.14,4.38,4.27,3.98,3.75
21,CNN Portugal,Francisco Rodrigues dos Santos,8299,2343,4004,578,298,147,3.83,3.92,3.71,6.6,8.19,2.83
22,CNN Portugal,Inês Sousa-Real,4339,1260,1913,173,99,147,2.0,2.11,1.77,1.98,2.72,2.83
23,CNN Portugal,Jerónimo de Sousa,4994,1549,2329,283,110,91,2.31,2.59,2.16,3.23,3.02,1.75
24,CNN Portugal,João Cotrim Figueiredo,4182,1611,1768,153,85,56,1.93,2.7,1.64,1.75,2.34,1.08
25,CNN Portugal,Rui Rio,51981,15971,25079,1977,762,1431,24.02,26.72,23.25,22.58,20.93,27.53
26,CNN Portugal,Rui Tavares,6851,1609,3721,271,156,135,3.17,2.69,3.45,3.1,4.29,2.6
27,Correio da Manhã,André Ventura,14823,5579,6263,349,472,215,24.0,30.58,24.36,14.03,52.44,9.58
