,Page Name,User Name,Facebook Id,Page Category,Page Admin Top Country,Page Description,Page Created,Likes at Posting,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Is Video Owner?,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Sponsor Category,Total Interactions (weighted  —  Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x ),Overperforming Score
20,SAPO,sapo,250956600769,NEWS_SITE,PT,O SAPO é uma marca e um motor de busca criado na Universidade de Aveiro - http://www.sapo.pt/,2010-01-14 10:55:05,1188718.0,1190138.0,2022-01-18 14:15:16 WET,2022-01-18,14:15:16,Link,"5,148",2029,1697,109,506,28,623,47,94,15,,-,0,0,0,,https://www.facebook.com/250956600769/posts/10158720449800770,André Ventura não vai ao “Isto é gozar com quem trabalha“ porque o apresentador não o quer,https://mag.sapo.pt/tv/atualidade-tv/artigos/ricardo-araujo-pereira-andre-ventura-nao-vem-porque-porque-eu-nao-quero?utm_source=facebook_sapo&utm_medium=social&utm_campaign=social_sapo,https://mag.sapo.pt/tv/atualidade-tv/artigos/ricardo-araujo-pereira-andre-ventura-nao-vem-porque-porque-eu-nao-quero,,"Ricardo Araújo Pereira: ""André Ventura não vem porque eu não quero""","""Ele está sempre a resmungar"", acrescentou o humorista.",,,,"5,148",80.44
28,SIC Notícias,sicnoticias,150808986387,TV_CHANNEL,PT,"Obrigado por visitar a SIC Notícias. 

Aqui pode seguir os conteúdos que passam na televisão e os exclusivos do site: em texto, vídeo e em fotos. 

Acompanhe também as notícias de última hora em direto. 

http://sicnoticias.pt/ ",2009-09-09 10:03:09,1763024.0,1939164.0,2022-01-03 00:05:24 WET,2022-01-03,00:05:24,Native Video,"4,227",1760,1195,789,117,16,266,26,35,23,owned,Yes,79082,88296,0,00:27:30,https://www.facebook.com/150808986387/posts/10160361814021388,"DEBATE LEGISLATIVAS 2022 Veja aqui na íntegra o debate entre a porta-voz do Bloco de Esquerda, Catarina Martins, e o líder do Chega, André Ventura.",https://www.facebook.com/sicnoticias/videos/292928992803960/,,,,,,,,"4,227",15.15
31,CNN Portugal,cnnportugal,101826228779402,TV_CHANNEL,PT,"CNN Portugal. A força da informação, 24 horas por dia, em direto e em português.  Acompanhe no canal 7, em cnnportugal.pt e descarregue a nossa app. #EmTodasAsFrentes
",2021-05-24 11:30:20,1155496.0,1138998.0,2022-01-12 18:31:14 WET,2022-01-12,18:31:14,Live Video Complete,"4,003",1092,1990,340,205,27,244,32,52,21,owned,Yes,83992,87139,0,00:32:40,https://www.facebook.com/101826228779402/posts/4484786718296648,Acompanhe aqui o debate entre André Ventura e Francisco Rodrigues dos Santos.,https://www.facebook.com/cnnportugal/videos/4484786718296648/,,,DECISÃO 22: Debate CDS - Chega,,,,,"4,003",2.7
33,SIC Notícias,sicnoticias,150808986387,TV_CHANNEL,PT,"Obrigado por visitar a SIC Notícias. 

Aqui pode seguir os conteúdos que passam na televisão e os exclusivos do site: em texto, vídeo e em fotos. 

Acompanhe também as notícias de última hora em direto. 

http://sicnoticias.pt/ ",2009-09-09 10:03:09,1763024.0,1939164.0,2022-01-02 23:34:45 WET,2022-01-02,23:34:45,Native Video,"3,961",1674,1354,390,77,20,393,17,25,11,owned,Yes,90809,104058,0,00:02:34,https://www.facebook.com/150808986387/posts/10160361768781388,"""VENCEU ANDRÉ VENTURA. FOI UM DEBATE ENTRE UM KILLER E UMA MODERADA"" A jornalista do Expresso Ângela Silva considera que André Ventura venceu o debate com Catarina Martins, este domingo, na SIC Notícias. ""Foi um debate entre um killer, demagogo mas killer, e uma moderada, que não era suposto ser tão moderada"", afirma.",https://www.facebook.com/sicnoticias/videos/1290042864846851/,,,,,,,,"3,961",14.2
45,Expresso,jornalexpresso,43218682948,TOPIC_NEWSPAPER,PT,"Página oficial do Expresso no Facebook. As notícias e a opinião que interessam. Todos os dias, a todas as horas 
https://expresso.pt",2009-01-03 09:57:23,759793.0,795770.0,2022-01-03 00:11:35 WET,2022-01-03,00:11:35,Photo,"3,233",360,1647,123,14,12,1026,20,24,7,,-,0,0,0,,https://www.facebook.com/43218682948/posts/10159302041652949,"#Debates Legislativas2022: CATARINA MARTINS MELHOR QUE VENTURA. AS NOTAS DOS COMENTADORES DO EXPRESSO No segundo debate das legislativas, as notas dos comentadores do Expresso dão negativa a André Ventura: o líder do Chega não passa a médio dos 3,8 valores, contra 5,5 da líder do Bloco. Veja porquê, aqui em baixo, lendo a avaliação dos comentadores do Expresso. Daniel Oliveira Catarina Martins – 7 x 5 André Ventura Pela primeira vez, um dirigente de esquerda conseguiu impedir a sabotagem. A todas as interrupções, Catartina Martins nunca se deixou levar. Nunca baixou o nível ou perdeu a calma. Os dois candidatos falavam para os seus potenciais eleitores, não a indecisos entre si. E Catarina Martins precisava de deixar claro que a simetria entre Ventura e ela são absurdas. O que deixou alguns comentadores dececionados. E centrou o debate no terreno que Ventura costuma tentar focar sozinho: na corrupção. Ventura disse para marcar o dia e a hora para debater a corrupção. Faltou, no parlamento, quando se votaram as medidas anticorrupção. Como o conteúdo conta, deve-se reforçar que não teve medo de defender a decência, seja sobre imigrantes ou os mais pobres, mesmo em temas que podem ser impopulares. Foi inteligente na utilização do Papa Francisco no confronto com Ventura. Martim Silva Catarina Martins 4 – 2 André Ventura Catarina Martins procurou levar o debate para temas como a corrupção, tentando combater André Ventura em áreas com que este adora encher a boca. A opção era difícil e arriscada, convenha-se. De qualquer forma, André Ventura (com um discurso que, há que reconhecer, é fácil e pode ter impacto) continua a querer assustar e a usar o discurso do medo, dizendo por exemplo que o RSI é “distribuir subsídios para o pessoal” ou que o apoio aos refugiados e migrantes cria subsidio-dependência. Quem o faz não pode, necessariamente, ter uma avaliação positiva. Cristina Figueiredo Catarina Martins 7, André Ventura 7 A coordenadora do BE trazia a lição bem estudada e manteve-se disciplinadamente dentro do guião, sem se deixar distrair pelas provocações (que já sabia que as teria) do adversário. O presidente do Chega, por sua vez, conseguiu deixar de ser o candidato mal-educado que tínhamos visto em anteriores debates (nas presidenciais). Só por aí, nota positiva para ambos. O debate acabou por afunilar no combate à corrupção, responsabilidade sobretudo de Catarina Martins, que logo na primeira pergunta quis levar a conversa para aí. Não é líquido que tenha sido uma aposta vencedora, até porque (como seria de esperar) a André Ventura não lhe faltavam respostas num território que, a bem dizer, é a sua praia. Feitas as contas, cada um falou para os seus eleitorados e, nessa tarefa, foram ambos bem-sucedidos. Se os eleitorados de cada um são suficientes para que consigam o almejado terceiro lugar nas legislativas... essa é outra conversa. David Dinis Catarina 4 - Ventura 1 Ventura está mais agressivo, mais demagogo, mais insultuoso, mais irascível, mais perigoso do que nunca. Ventura foi, porventura, eficaz para os seus, leva um ponto, porque um ponto é o melhor que se consegue dar a quem entra num debate como se entrasse no Squid Game. Catarina Martins foi cilindrada com ataques e muitos insultos e, em contenção (lembram-se de Marisa Matias?), só mais perto do fim decidiu dizer a verdade: “André Ventura é um condenado por racismo”. Pois é, mas Catarina foi pouco eficaz. Nota: o site do Expresso encontra-se temporariamente indisponível, pelo que estamos a usar as nossas redes sociais para lhe trazer as notícias do dia. Fique connosco. #liberdadeparainformar",https://www.facebook.com/jornalexpresso/photos/a.378167197948/10159302039392949/?type=3,,,,,,,,"3,233",41.45
47,Jornal de Notícias,jornalnoticias,216390522994,TOPIC_NEWSPAPER,PT,"Bem-vindo ao Facebook do Jornal de Notícias, um jornal de Portugal, de proximidade e de confiança.",2009-11-18 14:08:05,2268856.0,2284625.0,2022-01-22 21:10:01 WET,2022-01-22,21:10:01,Link,"3,166",1245,1040,63,190,12,575,10,11,20,,-,0,0,0,,https://www.facebook.com/216390522994/posts/10161839773962995,,https://www.jn.pt/nacional/fatima-cigana-disse-a-ventura-para-deixar-de-ser-racista-14517752.html,,,"Fátima, cigana, disse a Ventura para ″deixar de ser racista″","A arruada do Chega em Braga foi interrompida por uma mulher cigana que pediu a Ventura para ""deixar de ser racista"", com o líder do Chega a alegar que ""muitos ciganos"" não trabalham, apesar de estudos apontarem no sentido contrário.",,,,"3,166",26.61
52,CNN Portugal,cnnportugal,101826228779402,TV_CHANNEL,PT,"CNN Portugal. A força da informação, 24 horas por dia, em direto e em português.  Acompanhe no canal 7, em cnnportugal.pt e descarregue a nossa app. #EmTodasAsFrentes
",2021-05-24 11:30:20,1156596.0,1140756.0,2022-01-23 08:00:16 WET,2022-01-23,08:00:16,Link,"2,919",976,1094,71,55,14,677,6,22,4,,-,0,0,0,,https://www.facebook.com/101826228779402/posts/243342867961070,"“Não pode ser racista para os ciganos, que somos seres humanos como os outros. Todos trabalhamos“, disse Fátima Romero.",https://cnnportugal.iol.pt/videos/arruada-do-chega-em-braga-foi-interrompida-por-uma-mulher-cigana-que-pediu-a-ventura-para-deixar-de-ser-racista/61ec804a0cf2cc58e7deb2c2?utm_source=facebook&utm_medium=social&utm_campaign=ed-cnnportugal,https://cnnportugal.iol.pt/videos/arruada-do-chega-em-braga-foi-interrompida-por-uma-mulher-cigana-que-pediu-a-ventura-para-deixar-de-ser-racista/61ec804a0cf2cc58e7deb2c2,,Arruada do Chega em Braga foi interrompida por uma mulher cigana que pediu a Ventura para “deixar de ser racista“,,,,,"2,919",23.17
53,Jornal de Notícias,jornalnoticias,216390522994,TOPIC_NEWSPAPER,PT,"Bem-vindo ao Facebook do Jornal de Notícias, um jornal de Portugal, de proximidade e de confiança.",2009-11-18 14:08:05,2268876.0,2284693.0,2022-01-25 15:36:01 WET,2022-01-25,15:36:01,Link,"2,916",765,1043,34,16,26,989,22,15,6,,-,0,0,0,,https://www.facebook.com/216390522994/posts/10161845781807995,,https://www.jn.pt/nacional/videos/ciganos-acusam-ventura-de-os-tratar-como-bode-expiatorio-14525239.html,,,Ciganos acusam Ventura de os tratar como bode expiatório,"A comunidade cigana de Loures acusa André Ventura de a tratar como bode expiatório, aumentando a discriminação em áreas como o trabalho e a habitação.",,,,"2,916",26.75
57,Observador,ObservadorOnTime,111978555633494,NEWS_SITE,PT,"Obrigado por visitar o Observador no Facebook. Aqui queremos partilhar informação, interagir com os nossos leitores e discutir ideias.",2012-11-27 14:41:38,828731.0,934412.0,2022-01-07 09:05:56 WET,2022-01-07,09:05:56,Live Video Complete,"2,732",674,1241,556,178,2,30,16,29,6,crosspost,Yes,38091,42598,43551,00:54:36,https://www.facebook.com/111978555633494/posts/263078412593640,"Líder do Chega em direto, numa entrevista conduzida por Miguel Pinheiro, Miguel Santos Carrapatoso e Inês André Figueiredo",https://www.facebook.com/ObservadorOnTime/videos/263078412593640/,,,André Ventura está “Sob Escuta” na Rádio Observador,,,,,"2,732",23.96
62,Jornal de Notícias,jornalnoticias,216390522994,TOPIC_NEWSPAPER,PT,"Bem-vindo ao Facebook do Jornal de Notícias, um jornal de Portugal, de proximidade e de confiança.",2009-11-18 14:08:05,2268910.0,2284606.0,2022-01-19 13:40:01 WET,2022-01-19,13:40:01,Link,"2,539",847,943,47,159,20,481,15,20,7,,-,0,0,0,,https://www.facebook.com/216390522994/posts/10161832360292995,,https://www.jn.pt/nacional/andre-ventura-chama-cobardolas-a-ricardo-araujo-pereira-14505870.html,,,André Ventura chama ″cobardolas″ a Ricardo Araújo Pereira,"O líder do Chega não vai estar nas entrevistas sobre as Legislativas conduzidas pelo humorista na SIC. André Ventura já reagiu publicamente e chamou ""cobardolas"" a Ricardo Araújo Pereira.",,,,"2,539",20.81
