,Page Name,User Name,Facebook Id,Page Category,Page Admin Top Country,Page Description,Page Created,Likes at Posting,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Is Video Owner?,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Sponsor Category,Total Interactions (weighted  —  Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x ),Overperforming Score
32,Jornal de Notícias,jornalnoticias,216390522994,TOPIC_NEWSPAPER,PT,"Bem-vindo ao Facebook do Jornal de Notícias, um jornal de Portugal, de proximidade e de confiança.",2009-11-18 14:08:05,2268777.0,2284350.0,2022-01-13 21:49:57 WET,2022-01-13,21:49:57,Link,"6,704",1328,5165,86,21,3,62,9,24,6,,-,0,0,0,,https://www.facebook.com/216390522994/posts/10161820301442995,Vote aqui,https://www.jn.pt/i/14488761.html,https://www.jn.pt/nacional/quem-esteve-melhor-no-debate-entre-antonio-costa-e-rui-rio-14488761.html,,Quem esteve melhor no debate entre António Costa e Rui Rio?,"O secretário-geral do PS e o presidente do PSD realizaram, esta quinta-feira, o único debate entre os dois candidatos às Legislativas 2022. Quem teve o melhor desempenho? Faça aqui a sua escolha.",,,,"6,704",54.95
78,Correio da Manhã,cmjornal,469974510474,TOPIC_NEWSPAPER,PT,"Correio da Manhã, o jornal líder de audiências em Portugal, feito por pessoas a pensar em pessoas.
Site: https://www.cmjornal.pt",2010-02-12 09:43:08,1524013.0,1563694.0,2022-01-24 16:45:00 WET,2022-01-24,16:45:00,Link,"3,591",612,1290,125,17,31,1402,37,66,11,,-,0,0,0,,https://www.facebook.com/469974510474/posts/10166305483470475,Primeiro-ministro deu uma entrevista à rádio Renascença onde admitiu o aumento do salário mínimo nacional.,https://www.cmjornal.pt/politica/detalhe/antonio-costa-admite-salario-minimo-superior-a-900-euros-em-2026,,,António Costa admite salário mínimo superior a 900 euros em 2026,Primeiro-ministro deu uma entrevista à rádio Renascença onde admitiu o aumento do salário mínimo nacional.,,,,"3,591",20.06
96,Jornal de Notícias,jornalnoticias,216390522994,TOPIC_NEWSPAPER,PT,"Bem-vindo ao Facebook do Jornal de Notícias, um jornal de Portugal, de proximidade e de confiança.",2009-11-18 14:08:05,2268901.0,2284345.0,2022-01-03 19:40:24 WET,2022-01-03,19:40:24,Link,"3,164",556,1079,108,29,35,1260,21,66,10,,-,0,0,0,,https://www.facebook.com/216390522994/posts/10161797888697995,Linhas gerais do programa eleitoral do PS,https://www.jn.pt/nacional/ps-promete-900-euros-de-salario-minimo-ate-2026-14458242.html,,,PS promete 900 euros de salário mínimo até 2026,"A ministra da Presidência, Mariana Vieira da Silva, anunciou que o PS quer fazer subir o salário mínimo até aos 900 euros em 2026. O líder socialista, António Costa, também abordou a valorização salarial, mas não falou em números; preferiu centrar-se nas críticas à ""coligação negativa...",,,,"3,164",21.97
103,Observador,ObservadorOnTime,111978555633494,NEWS_SITE,PT,"Obrigado por visitar o Observador no Facebook. Aqui queremos partilhar informação, interagir com os nossos leitores e discutir ideias.",2012-11-27 14:41:38,828731.0,934412.0,2022-01-07 22:18:29 WET,2022-01-07,22:18:29,Link,"3,054",424,1133,274,26,25,681,126,361,4,,-,0,0,0,,https://www.facebook.com/111978555633494/posts/2277779602386701,"Entrevistado por Cristina Ferreira, o primeiro-ministro revelou, no fim da entrevista, que tinha um ""beijinho de um grande admirador"" com quem tinha estado no mesmo dia, para lhe dar: Marcelo.",https://observador.pt/2022/01/07/costa-foi-ao-programa-de-cristina-ferreira-levar-lhe-um-beijinho-de-um-grande-admirador-marcelo-com-quem-tinha-estado-a-tarde/?utm_medium=Social&utm_source=Facebook#Echobox=1641593288,,,"Costa foi ao programa de Cristina Ferreira levar-lhe um ""beijinho de um grande admirador"": Marcelo, com quem tinha estado à tarde",,,,,"3,054",34.7
104,ECO,ECOEconomiaOnline,1246082805422484,TOPIC_NEWSPAPER,PT,O ECO é um jornal digital que junta uma plataforma tecnológica inovadora a um jornalismo independente e próximo dos leitores.,2016-09-21 18:31:03,104396.0,116319.0,2022-01-17 11:10:10 WET,2022-01-17,11:10:10,Link,"3,047",476,656,492,18,30,1270,51,47,7,,-,0,0,0,,https://www.facebook.com/1246082805422484/posts/5227505690613489,,https://eco.sapo.pt/2022/01/17/costa-vai-em-campanha-para-os-acores-a-bordo-da-ryanair,https://eco.sapo.pt/2022/01/17/costa-vai-em-campanha-para-os-acores-a-bordo-da-ryanair/,,Costa vai em campanha para os Açores a bordo da… Ryanair,,,,,"3,047",49.95
108,CNN Portugal,cnnportugal,101826228779402,TV_CHANNEL,PT,"CNN Portugal. A força da informação, 24 horas por dia, em direto e em português.  Acompanhe no canal 7, em cnnportugal.pt e descarregue a nossa app. #EmTodasAsFrentes
",2021-05-24 11:30:20,1156890.0,1141126.0,2022-01-26 10:00:59 WET,2022-01-26,10:00:59,Photo,"2,959",755,1471,93,76,7,508,14,22,13,,-,0,0,0,,https://www.facebook.com/101826228779402/posts/245576004404423,"António Costa voltou a garantir que abandona o cargo de secretário-geral do PS em caso de derrota nas eleições legislativas de dia 30 de janeiro. Em entrevista à CNN Portugal, Costa definiu-se como “inimigo principal do Chega“ (sê-lo “é um orgulho“) e diz que isso o distingue de Rio. Isso e não esconder coisas. Veja a entrevista completa: https://swki.me/ei3pBViV:=:https://cnnportugal.iol.pt/videos/a-entrevista-a-antonio-costa-na-integra/61f0859c0cf2c7ea0f1559f3",https://www.facebook.com/cnnportugal/photos/a.129237229371635/245576004404423/?type=3,,""" Se os portugueses disserem 'estamos fartos do António Costa' partirei em paz e em sossego CNN PORTUGAL António Costa, secretário-geral do PS Entrevista CNN Portugal",Timeline photos,,,,,"2,959",13.96
119,Correio da Manhã,cmjornal,469974510474,TOPIC_NEWSPAPER,PT,"Correio da Manhã, o jornal líder de audiências em Portugal, feito por pessoas a pensar em pessoas.
Site: https://www.cmjornal.pt",2010-02-12 09:43:08,1523611.0,1562778.0,2022-01-18 01:46:49 WET,2022-01-18,01:46:49,Photo,"2,842",726,704,646,3,25,5,505,213,15,,-,0,0,0,,https://www.facebook.com/469974510474/posts/10166286786525475,Veja a capa do Correio da Manhã desta terça-feira (18/01/2022): https://bit.ly/3nCqedH:=:https://www.cmjornal.pt/mais-cm/capas,https://www.facebook.com/cmjornal/photos/a.10150146148770475/10166286785635475/?type=3,,"Casa Negócio Oferta câmara Aproveite 70722238 CANCRO ARMANDO GAMA Casa & Negócio cámara PEDE CONDENAÇÃO Aproveite iá! 7072223 CORREIO da manhă CANCRO DESVIA OURIQUE EUROS SILVANO ARMANDO GAMA APOSTAS MPPEDE CONDENAÇÃO CORREIO da manhă DESVIA OURIQUE EUROS SILVANO EGANHA APOSTAS CRIANÇA DE 6 ANOS MORRE APÓS VACINA MENINO ENTROU SÁBADO NO HOSPITAL DE SANTA MARIA PARAGEM CARDIORRESPIRATÓRIA ARMED PANDENIA CRIANÇA DE 6 ANOS MORRE APOS VACINA MENINO ENTROU SÁBADO HOSPITAL DESANTA MARIA EM PARAGEM CARDIORRESPIRATÓRIA cassada EN FARMED RUI COSTA ZQUEIXA CRIPTOMOEDAS MILIONARIOS PRESIOONT Benfica COSTA idealista ""LUISÄOÊOBUFO DOBALNEARIO"" DOSOBEEDESCE MILIONARIOS MOSTRANCINACA idealista ""LUISAOÉOBUFO DOBALNEARIO"" A3 Aa imobilidria Portugal",,,,,,"2,842",15.62
121,Observador,ObservadorOnTime,111978555633494,NEWS_SITE,PT,"Obrigado por visitar o Observador no Facebook. Aqui queremos partilhar informação, interagir com os nossos leitores e discutir ideias.",2012-11-27 14:41:38,828979.0,935521.0,2022-01-18 14:03:58 WET,2022-01-18,14:03:58,Link,"2,823",1227,729,457,12,29,322,18,25,4,,-,0,0,0,,https://www.facebook.com/111978555633494/posts/2286895798141748,"David Neeleman considera que António Costa ""faltou à verdade"" por ter dito que o ex-acionista da TAP ""não merecia a confiança"" e que ""daria cabo"" da companhia: ""Afetou o meu nome e reputação"".",https://observador.pt/2022/01/18/ex-acionista-da-tap-david-neeleman-acusa-costa-de-faltar-a-verdade-no-debate-com-rio-e-quer-pedido-de-desculpas/?utm_medium=Social&utm_source=Facebook#Echobox=1642514017,https://observador.pt/2022/01/18/ex-acionista-da-tap-david-neeleman-acusa-costa-de-faltar-a-verdade-no-debate-com-rio-e-quer-pedido-de-desculpas/,,"Ex-acionista da TAP David Neeleman acusa Costa de ""faltar à verdade"" no debate com Rio e quer pedido de desculpas",,,,,"2,823",32.83
136,CNN Portugal,cnnportugal,101826228779402,TV_CHANNEL,PT,"CNN Portugal. A força da informação, 24 horas por dia, em direto e em português.  Acompanhe no canal 7, em cnnportugal.pt e descarregue a nossa app. #EmTodasAsFrentes
",2021-05-24 11:30:20,1155593.0,1139175.0,2022-01-13 20:30:46 WET,2022-01-13,20:30:46,Live Video Complete,"2,546",383,1755,189,109,14,24,10,49,13,owned,Yes,21982,23978,0,01:17:42,https://www.facebook.com/101826228779402/posts/620429115681143,DECISÃO 22. Acompanhe aqui o debate entre António Costa e Rui Rio e deixe os seus comentários.,https://www.facebook.com/cnnportugal/videos/620429115681143/,,,Decisão 22: António Costa vs Rui Rio,,,,,"2,546",1.71
139,SIC Notícias,sicnoticias,150808986387,TV_CHANNEL,PT,"Obrigado por visitar a SIC Notícias. 

Aqui pode seguir os conteúdos que passam na televisão e os exclusivos do site: em texto, vídeo e em fotos. 

Acompanhe também as notícias de última hora em direto. 

http://sicnoticias.pt/ ",2009-09-09 10:03:09,1763774.0,1940633.0,2022-01-07 09:54:12 WET,2022-01-07,09:54:12,Link,"2,484",249,1362,62,13,11,757,6,18,6,,-,0,0,0,,https://www.facebook.com/150808986387/posts/10160369699326388,"António Costa bateu André Ventura, diz a maioria dos comentadores do Expresso que seguiram o debate. Mas não houve unanimidade. Veja as notas e comentários sobre o primeiro debate desta noite. No Expresso",https://expresso.pt/politica/3-1-1-costa-bateu-ventura-mas-ha-aqui-um-empate-e-derrota-a-assinalar-as-notas-e-analises-dos-comentadores-expresso/,,,"3-1-1: Costa bateu Ventura, mas há aqui um empate e derrota a assinalar (as notas e análises dos comentadores Expresso)","António Costa bateu André Ventura, diz a maioria dos comentadores do Expresso que seguiram o debate. Mas não houve unanimidade. Veja as notas e comentários sobre o primeiro debate desta noite",,,,"2,484",24.12
