,Page Name,User Name,Facebook Id,Page Category,Page Admin Top Country,Page Description,Page Created,Likes at Posting,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Is Video Owner?,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Sponsor Category,Total Interactions (weighted  —  Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x ),Overperforming Score
36,SIC Notícias,sicnoticias,150808986387,TV_CHANNEL,PT,"Obrigado por visitar a SIC Notícias. 

Aqui pode seguir os conteúdos que passam na televisão e os exclusivos do site: em texto, vídeo e em fotos. 

Acompanhe também as notícias de última hora em direto. 

http://sicnoticias.pt/ ",2009-09-09 10:03:09,1763024.0,1939164.0,2022-01-03 00:05:24 WET,2022-01-03,00:05:24,Native Video,"4,227",1760,1195,789,117,16,266,26,35,23,owned,Yes,79082,88296,0,00:27:30,https://www.facebook.com/150808986387/posts/10160361814021388,"DEBATE LEGISLATIVAS 2022 Veja aqui na íntegra o debate entre a porta-voz do Bloco de Esquerda, Catarina Martins, e o líder do Chega, André Ventura.",https://www.facebook.com/sicnoticias/videos/292928992803960/,,,,,,,,"4,227",15.15
41,SIC Notícias,sicnoticias,150808986387,TV_CHANNEL,PT,"Obrigado por visitar a SIC Notícias. 

Aqui pode seguir os conteúdos que passam na televisão e os exclusivos do site: em texto, vídeo e em fotos. 

Acompanhe também as notícias de última hora em direto. 

http://sicnoticias.pt/ ",2009-09-09 10:03:09,1763024.0,1939164.0,2022-01-02 23:34:45 WET,2022-01-02,23:34:45,Native Video,"3,961",1674,1354,390,77,20,393,17,25,11,owned,Yes,90809,104058,0,00:02:34,https://www.facebook.com/150808986387/posts/10160361768781388,"""VENCEU ANDRÉ VENTURA. FOI UM DEBATE ENTRE UM KILLER E UMA MODERADA"" A jornalista do Expresso Ângela Silva considera que André Ventura venceu o debate com Catarina Martins, este domingo, na SIC Notícias. ""Foi um debate entre um killer, demagogo mas killer, e uma moderada, que não era suposto ser tão moderada"", afirma.",https://www.facebook.com/sicnoticias/videos/1290042864846851/,,,,,,,,"3,961",14.2
46,Expresso,jornalexpresso,43218682948,TOPIC_NEWSPAPER,PT,"Página oficial do Expresso no Facebook. As notícias e a opinião que interessam. Todos os dias, a todas as horas 
https://expresso.pt",2009-01-03 09:57:23,759793.0,795770.0,2022-01-03 00:11:35 WET,2022-01-03,00:11:35,Photo,"3,233",360,1647,123,14,12,1026,20,24,7,,-,0,0,0,,https://www.facebook.com/43218682948/posts/10159302041652949,"#Debates Legislativas2022: CATARINA MARTINS MELHOR QUE VENTURA. AS NOTAS DOS COMENTADORES DO EXPRESSO No segundo debate das legislativas, as notas dos comentadores do Expresso dão negativa a André Ventura: o líder do Chega não passa a médio dos 3,8 valores, contra 5,5 da líder do Bloco. Veja porquê, aqui em baixo, lendo a avaliação dos comentadores do Expresso. Daniel Oliveira Catarina Martins – 7 x 5 André Ventura Pela primeira vez, um dirigente de esquerda conseguiu impedir a sabotagem. A todas as interrupções, Catartina Martins nunca se deixou levar. Nunca baixou o nível ou perdeu a calma. Os dois candidatos falavam para os seus potenciais eleitores, não a indecisos entre si. E Catarina Martins precisava de deixar claro que a simetria entre Ventura e ela são absurdas. O que deixou alguns comentadores dececionados. E centrou o debate no terreno que Ventura costuma tentar focar sozinho: na corrupção. Ventura disse para marcar o dia e a hora para debater a corrupção. Faltou, no parlamento, quando se votaram as medidas anticorrupção. Como o conteúdo conta, deve-se reforçar que não teve medo de defender a decência, seja sobre imigrantes ou os mais pobres, mesmo em temas que podem ser impopulares. Foi inteligente na utilização do Papa Francisco no confronto com Ventura. Martim Silva Catarina Martins 4 – 2 André Ventura Catarina Martins procurou levar o debate para temas como a corrupção, tentando combater André Ventura em áreas com que este adora encher a boca. A opção era difícil e arriscada, convenha-se. De qualquer forma, André Ventura (com um discurso que, há que reconhecer, é fácil e pode ter impacto) continua a querer assustar e a usar o discurso do medo, dizendo por exemplo que o RSI é “distribuir subsídios para o pessoal” ou que o apoio aos refugiados e migrantes cria subsidio-dependência. Quem o faz não pode, necessariamente, ter uma avaliação positiva. Cristina Figueiredo Catarina Martins 7, André Ventura 7 A coordenadora do BE trazia a lição bem estudada e manteve-se disciplinadamente dentro do guião, sem se deixar distrair pelas provocações (que já sabia que as teria) do adversário. O presidente do Chega, por sua vez, conseguiu deixar de ser o candidato mal-educado que tínhamos visto em anteriores debates (nas presidenciais). Só por aí, nota positiva para ambos. O debate acabou por afunilar no combate à corrupção, responsabilidade sobretudo de Catarina Martins, que logo na primeira pergunta quis levar a conversa para aí. Não é líquido que tenha sido uma aposta vencedora, até porque (como seria de esperar) a André Ventura não lhe faltavam respostas num território que, a bem dizer, é a sua praia. Feitas as contas, cada um falou para os seus eleitorados e, nessa tarefa, foram ambos bem-sucedidos. Se os eleitorados de cada um são suficientes para que consigam o almejado terceiro lugar nas legislativas... essa é outra conversa. David Dinis Catarina 4 - Ventura 1 Ventura está mais agressivo, mais demagogo, mais insultuoso, mais irascível, mais perigoso do que nunca. Ventura foi, porventura, eficaz para os seus, leva um ponto, porque um ponto é o melhor que se consegue dar a quem entra num debate como se entrasse no Squid Game. Catarina Martins foi cilindrada com ataques e muitos insultos e, em contenção (lembram-se de Marisa Matias?), só mais perto do fim decidiu dizer a verdade: “André Ventura é um condenado por racismo”. Pois é, mas Catarina foi pouco eficaz. Nota: o site do Expresso encontra-se temporariamente indisponível, pelo que estamos a usar as nossas redes sociais para lhe trazer as notícias do dia. Fique connosco. #liberdadeparainformar",https://www.facebook.com/jornalexpresso/photos/a.378167197948/10159302039392949/?type=3,,,,,,,,"3,233",41.45
70,CNN Portugal,cnnportugal,101826228779402,TV_CHANNEL,PT,"CNN Portugal. A força da informação, 24 horas por dia, em direto e em português.  Acompanhe no canal 7, em cnnportugal.pt e descarregue a nossa app. #EmTodasAsFrentes
",2021-05-24 11:30:20,1154829.0,1137904.0,2022-01-02 23:40:10 WET,2022-01-02,23:40:10,Link,"1,824",724,773,66,28,9,210,5,7,2,,-,0,0,0,,https://www.facebook.com/101826228779402/posts/228866266075397,André Ventura diz que a “maior falácia“ do Bloco de Esquerda foi não ter apoiado a duplicação de penas de corrupção.,https://cnnportugal.iol.pt/videos/corrupcao-enquanto-a-catarina-martins-era-atriz-eu-era-inspetor-tributario-diz-ventura/61d22fd70cf2c7ea0f1098d4?utm_source=facebook&utm_medium=social&utm_campaign=ed-cnnportugal,,,"Corrupção? ""Enquanto a Catarina Martins era atriz, eu era inspetor tributário"", diz Ventura","André Ventura diz que a ""maior falácia"" do Bloco de Esquerda foi não ter apoiado a duplicação de penas de corrupção e desafia Catarina de Martins a dar um exemplo de combate ao enriquecimento ilícito.",,,,"1,824",13.12
85,TVI,TviOficial,107038856024130,TV_NETWORK,PT,"Aqui, juntos, criamos a sua televisão.",2010-09-08 13:41:33,1418676.0,2259275.0,2022-01-25 20:00:15 WET,2022-01-25,20:00:15,Link,"1,564",368,217,19,14,3,0,321,2,620,,-,0,0,0,,https://www.facebook.com/107038856024130/posts/5089642894430343,"Uma história de dor, superação e de luta. Catarina teme o futuro e não consegue imaginar que não vai ver o crescimento do filho.",https://tvi.iol.pt/goucha/cancro/esclerose-multipla/catarina-luta-pela-vida-com-duas-doencas-graves-o-diagnostico-tirou-me-o-chao?utm_source=facebook&utm_medium=social&utm_campaign=ed-tvi,https://tvi.iol.pt/goucha/cancro/esclerose-multipla/catarina-luta-pela-vida-com-duas-doencas-graves-o-diagnostico-tirou-me-o-chao,,Catarina luta pela vida com duas doenças graves: «O diagnóstico tirou-me o chão»,,,,,"1,564",7.74
86,Jornal de Notícias,jornalnoticias,216390522994,TOPIC_NEWSPAPER,PT,"Bem-vindo ao Facebook do Jornal de Notícias, um jornal de Portugal, de proximidade e de confiança.",2009-11-18 14:08:05,2268805.0,2284436.0,2022-01-15 09:00:41 WET,2022-01-15,09:00:41,Link,"1,555",462,566,34,32,10,340,16,93,2,,-,0,0,0,,https://www.facebook.com/216390522994/posts/10161823571302995,Sondagem,https://www.jn.pt/feeds/milenium/antonio-costa-supera-rui-rio-em-14-pontos-no-potencial-de-voto-14493968.html,,,António Costa supera Rui Rio em 14 pontos no potencial de voto,"O mercado eleitoral é mais amplo para o candidato socialista a primeiro-ministro (70%) do que para o social-democrata (56%). Mas ambos têm margem suficiente para chegar em primeiro, de acordo com a sondagem da Aximage para o JN, DN e TSF. Catarina Martins, do BE, está em terceiro lugar nesta aval...",,,,"1,555",12.75
104,TVI,TviOficial,107038856024130,TV_NETWORK,PT,"Aqui, juntos, criamos a sua televisão.",2010-09-08 13:41:33,1418626.0,2258926.0,2022-01-24 01:04:14 WET,2022-01-24,01:04:14,Link,"1,296",960,205,4,11,4,4,19,86,3,,-,0,0,0,,https://www.facebook.com/107038856024130/posts/5081138371947462,Conheça os nomeados desta semana. #bbtvi Big Brother TVI,https://tvi.iol.pt/bigbrother/videos/catarina-siqueira-faz-nomeacao-direta/61edf8a80cf21847f0a6ef2c?utm_source=facebook&utm_medium=social&utm_campaign=ed-tvi,https://tvi.iol.pt/bigbrother/videos/catarina-siqueira-faz-nomeacao-direta/61edf8a80cf21847f0a6ef2c,,Catarina Siqueira faz nomeação direta,Big Brother,,,,"1,296",6.42
120,Jornal de Notícias,jornalnoticias,216390522994,TOPIC_NEWSPAPER,PT,"Bem-vindo ao Facebook do Jornal de Notícias, um jornal de Portugal, de proximidade e de confiança.",2009-11-18 14:08:05,2268901.0,2284345.0,2022-01-03 00:30:00 WET,2022-01-03,00:30:00,Link,"1,227",539,386,13,36,0,205,14,31,3,,-,0,0,0,,https://www.facebook.com/216390522994/posts/10161796296347995,,https://www.jn.pt/nacional/andre-ventura-o-importante-e-tirar-antonio-costa-do-poder-14456509.html,,,André Ventura: ″O importante é tirar António Costa do poder″,"Os líderes do Bloco de Esquerda e do Chega protagonizaram um debate quente e com várias trocas de acusações. André Ventura diz que fará ""tudo"" para tirar Costa do poder. Catarina Martins quer reforçar o estatuto de terceira força política.",,,,"1,227",8.52
123,SIC Notícias,sicnoticias,150808986387,TV_CHANNEL,PT,"Obrigado por visitar a SIC Notícias. 

Aqui pode seguir os conteúdos que passam na televisão e os exclusivos do site: em texto, vídeo e em fotos. 

Acompanhe também as notícias de última hora em direto. 

http://sicnoticias.pt/ ",2009-09-09 10:03:09,1763206.0,1939439.0,2022-01-03 00:30:41 WET,2022-01-03,00:30:41,Native Video,"1,195",382,613,55,11,9,79,7,36,3,owned,Yes,38308,38492,0,00:27:27,https://www.facebook.com/150808986387/posts/10160361844701388,"CATARINA MARTINS OU ANDRÉ VENTURA: QUEM GANHOU O DEBATE? A análise de Ângela Silva, Pedro Marques Lopes e Ricardo Costa na SIC Notícias.",https://www.facebook.com/sicnoticias/videos/252539426990671/,,,,,,,,"1,195",4.28
127,Expresso,jornalexpresso,43218682948,TOPIC_NEWSPAPER,PT,"Página oficial do Expresso no Facebook. As notícias e a opinião que interessam. Todos os dias, a todas as horas 
https://expresso.pt",2009-01-03 09:57:23,759793.0,795770.0,2022-01-03 00:10:40 WET,2022-01-03,00:10:40,Photo,"1,175",210,661,25,2,5,249,8,13,2,,-,0,0,0,,https://www.facebook.com/43218682948/posts/10159302039252949,"#debates #Legislativas2022 Política: Catarina foi ao Papa para debater com Ventura Era um debate sem ponto de contacto possível e, por isso, ao contrário do primeiro, entre PS e Livre, no frente a frente entre a coordenadora do Bloco de Esquerda e o líder do Chega pouco se falou de governabilidade, de convergência ou de propostas comuns para o país. Catarina Martins levava no bolso a corrupção - tema caro a André Ventura - que respondeu com acusações ao Bloco de Esquerda e com uma forma que se lhe conhece dos debates presidenciais: risos entre as palavras da oponente, ironia sobre o passado de atriz da candidata do Bloco e uma folha impressa, desta vez com o rosto de Mamadou Ba, dirigente da associação SOS Racismo, que em 2019 escreveu no Facebook a “bosta da bófia”. Num final de ano marcado pelos temas da justiça, com as detenções do ex-banqueiro João Rendeiro e do ex-ministro Manuel Pinho, Catarina Martins aproveitou para propor o fim dos vistos gold, medida a que o Chega se opõe, e a criminalização das offshores para vincar a dicotomia com Ventura. “Há uma elite de privilégio que vive à conta de quem trabalha”, disse a coordenadora do Bloco, em resposta à referência habitual do líder do Chega de que “metade do país trabalha para sustentar a outra metade”. Entre justiça, apoios sociais e forças de segurança, o debate deteve-se alguns minutos nos Açores. “É bastante cruel o que o Chega quis fazer nos Açores”, atirou Catarina Martins, referindo-se à redução do RSI (Rendimento Social de Inserção) proposta pelo partido de Ventura. “O RSI nos Açores é mais baixo do que no resto do país, 83 euros em média por pessoa. A maior parte [dos beneficiários] são mães com vários filhos em famílias monoparentais. São estas mulheres que a extrema-direita achou que deviam ser objeto da sua raiva e punição.” Ventura respondeu com “os Mercedes à porta”, “os coitadinhos”, numa altura em que, disse, “os empresários nem conseguem ter pessoas para trabalhar”. E confrontou a coordenadora do Bloco com duas propostas: “É ou não verdade que o Bloco de Esquerda quer aumentar o RSI? E que quer uma linha para financiar organizações de imigrantes e refugiados?” Catarina Martins não respondeu. A memória do debate presidencial de Marisa Matias com André Ventura estava presente nas hostes bloquistas e, por isso, a número um do partido optou sempre pela “poker face”, sem sorrir, sem levantar a voz. E até citou duas vezes o Papa Francisco. André Ventura descia o nível, na linguagem (“tretas”, “ah e tal, os coitadinhos”, “vota-se de qualquer maneira”) e no tom paternalista (“a Catarina Martins talvez não saiba”, “de Direito talvez perceba pouco”); e quando falou por cima, foi chamado à atenção, também por duas vezes, pela jornalista Rosa de Oliveira Pinto. “Nós combinámos que ninguém ia interromper”, avisou a moderadora. Para o fim, depois do papel com o rosto e a frase de Mamadou Ba, Catarina Martins deixou a memória de um caso recente: a acusação a Ventura no caso da família Coxi, a que o líder do Chega chamou “bandidos”. “André Ventura é um condenado com trânsito em julgado por racismo. É a primeira vez que temos alguém a candidatar-se nestas condições”, disse a líder do Bloco. Num debate sem uma verdadeira discussão de ideias, entre dois partidos que acreditam que vão chegar ao terceiro lugar nas próximas legislativas, foi pelo menos possível não perder a elevação. Nota: o site do Expresso encontra-se temporariamente indisponível, pelo que estamos a usar as nossas redes sociais para lhe trazer as notícias do dia. Fique connosco. #liberdadeparainformar",https://www.facebook.com/jornalexpresso/photos/a.378167197948/10159302039147949/?type=3,,,,,,,,"1,175",15.06
