,Page Name,User Name,Facebook Id,Page Category,Page Admin Top Country,Page Description,Page Created,Likes at Posting,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Is Video Owner?,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Sponsor Category,Total Interactions (weighted  —  Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x ),Overperforming Score
0,CNN Portugal,cnnportugal,101826228779402,TV_CHANNEL,PT,"CNN Portugal. A força da informação, 24 horas por dia, em direto e em português.  Acompanhe no canal 7, em cnnportugal.pt e descarregue a nossa app. #EmTodasAsFrentes
",2021-05-24 11:30:20,1155496.0,1138998.0,2022-01-12 18:31:14 WET,2022-01-12,18:31:14,Live Video Complete,"4,003",1092,1990,340,205,27,244,32,52,21,owned,Yes,83992,87139,0,00:32:40,https://www.facebook.com/101826228779402/posts/4484786718296648,Acompanhe aqui o debate entre André Ventura e Francisco Rodrigues dos Santos.,https://www.facebook.com/cnnportugal/videos/4484786718296648/,,,DECISÃO 22: Debate CDS - Chega,,,,,"4,003",2.7
8,Jornal de Notícias,jornalnoticias,216390522994,TOPIC_NEWSPAPER,PT,"Bem-vindo ao Facebook do Jornal de Notícias, um jornal de Portugal, de proximidade e de confiança.",2009-11-18 14:08:05,2268876.0,2284693.0,2022-01-25 16:51:01 WET,2022-01-25,16:51:01,Link,941,81,357,14,0,6,463,8,10,2,,-,0,0,0,,https://www.facebook.com/216390522994/posts/10161845952222995,,https://www.jn.pt/nacional/lider-do-cds-ja-tem-propostas-para-quando-for-ministro-da-defesa-14525746.html,,,Líder do CDS já tem propostas para ″quando for ministro da Defesa″,"O presidente do CDS-PP, Francisco Rodrigues dos Santos, adiantou, esta segunda-feira, algumas das propostas que quer realizar ""quando for ministro da Defesa"" e reclamou que o seu partido ""sempre defendeu"" os ex-combatentes, sendo ""o original"" e não a cópia.",,,,941,8.63
11,Observador,ObservadorOnTime,111978555633494,NEWS_SITE,PT,"Obrigado por visitar o Observador no Facebook. Aqui queremos partilhar informação, interagir com os nossos leitores e discutir ideias.",2012-11-27 14:41:38,829042.0,935648.0,2022-01-19 11:34:27 WET,2022-01-19,11:34:27,Link,839,484,177,30,15,12,109,6,5,1,,-,0,0,0,,https://www.facebook.com/111978555633494/posts/2287629364735058,"Rodrigues dos Santos criticou evento intitulado “Reflexões não-monogâmicas e porquê a família dever acabar”. “Estas ideias não passarão e não terão lugar no ensino público em Portugal“, defendeu.",https://observador.pt/2022/01/19/cds-contra-evento-da-universidade-de-coimbra-sobre-relacoes-nao-monogamicas-uma-afronta-a-todos-os-portugueses/?utm_term=Autofeed&utm_medium=Social&utm_source=Facebook#Echobox=1642591613,https://observador.pt/2022/01/19/cds-contra-evento-da-universidade-de-coimbra-sobre-relacoes-nao-monogamicas-uma-afronta-a-todos-os-portugueses/,,CDS contra evento da Universidade de Coimbra sobre relações não-monogâmicas. “Uma afronta a todos os portugueses”,,,,,839,10.62
13,SIC Notícias,sicnoticias,150808986387,TV_CHANNEL,PT,"Obrigado por visitar a SIC Notícias. 

Aqui pode seguir os conteúdos que passam na televisão e os exclusivos do site: em texto, vídeo e em fotos. 

Acompanhe também as notícias de última hora em direto. 

http://sicnoticias.pt/ ",2009-09-09 10:03:09,1763908.0,1940902.0,2022-01-12 20:50:55 WET,2022-01-12,20:50:55,Link,746,107,444,19,3,0,160,7,5,1,,-,0,0,0,,https://www.facebook.com/150808986387/posts/10160380345461388,"Se ainda for ver o debate entre os líderes do Chega e do CDS prepare-se: tem muito ruído e adjetivos pouco recomendáveis pela frente. Caso contrário, leia as notas e comentários aqui: foi o debate com mais notas negativas de todos – com Rodrigues dos Santos um pouco menos negativo No Expresso",https://expresso.pt/eleicoes-legislativas-2022/ventura-vs-chicao-um-debate-na-lama-e-uma-triste-imagem-de-duas-direitas-notas-e-analises-dos-comentadores-expresso/,,,Ventura vs Chicão? Um debate na lama e uma triste imagem de duas direitas (notas e análises dos comentadores Expresso),"Se ainda for ver o debate entre os líderes do Chega e do CDS prepare-se: tem muito ruído e adjetivos pouco recomendáveis pela frente. Caso contrário, leia as notas e comentários aqui: foi o debate com mais notas negativas de todos - com Rodrigues dos Santos um pouco menos negativo",,,,746,7.24
14,Jornal de Notícias,jornalnoticias,216390522994,TOPIC_NEWSPAPER,PT,"Bem-vindo ao Facebook do Jornal de Notícias, um jornal de Portugal, de proximidade e de confiança.",2009-11-18 14:08:05,2268892.0,2284611.0,2022-01-20 13:47:48 WET,2022-01-20,13:47:48,Link,735,95,241,25,3,17,339,5,8,2,,-,0,0,0,,https://www.facebook.com/216390522994/posts/10161834617347995,,https://www.jn.pt/nacional/rui-rio-admite-chicao-para-ministro-da-defesa-14509686.html,,,Rui Rio admite Chicão para ministro da Defesa,"Se Rui Rio for eleito primeiro-ministro, Francisco Rodrigues dos Santos pode ser ministro da Defesa. Esta quinta-feira de manhã, o presidente do PSD não descartou a hipótese de dar ao líder do CDS aquela pasta, à semelhança do que fez Pedro Passos Coelho, que a atribuiu a Paulo Portas. ""Não s...",,,,735,6.02
15,SIC Notícias,sicnoticias,150808986387,TV_CHANNEL,PT,"Obrigado por visitar a SIC Notícias. 

Aqui pode seguir os conteúdos que passam na televisão e os exclusivos do site: em texto, vídeo e em fotos. 

Acompanhe também as notícias de última hora em direto. 

http://sicnoticias.pt/ ",2009-09-09 10:03:09,1763774.0,1940633.0,2022-01-07 23:26:06 WET,2022-01-07,23:26:06,Link,689,324,275,11,21,0,41,4,10,3,,-,0,0,0,,https://www.facebook.com/150808986387/posts/10160370852991388,"Rui Rio (PSD) debateu, esta sexta-feira, com Francisco Rodrigues dos Santos (CDS-PP). Líder centrista defende que “todas as companhias de transportes detidas pelo Estado“ devem passar para o setor privado.",https://sicnoticias.pt/eleicoes-legislativas/legislativas-rio-considera-que-tap-e-uma-vergonha-e-quer-reprivatiza-la,https://sicnoticias.pt/eleicoes-legislativas/legislativas-rio-considera-que-tap-e-uma-vergonha-e-quer-reprivatiza-la/,,Legislativas: Rio considera que “TAP é uma vergonha” e quer reprivatizá-la,,,,,689,6.69
16,Expresso,jornalexpresso,43218682948,TOPIC_NEWSPAPER,PT,"Página oficial do Expresso no Facebook. As notícias e a opinião que interessam. Todos os dias, a todas as horas 
https://expresso.pt",2009-01-03 09:57:23,760765.0,796996.0,2022-01-12 20:30:13 WET,2022-01-12,20:30:13,Link,661,72,377,19,3,3,161,18,7,1,,-,0,0,0,,https://www.facebook.com/43218682948/posts/10159318013097949,"Se ainda for ver o debate entre os líderes do Chega e do CDS prepare-se: tem muito ruído e adjetivos pouco recomendáveis pela frente. Caso contrário, leia as notas e comentários aqui: foi o debate com mais notas negativas de todos – com Rodrigues dos Santos um pouco menos negativo",https://expresso.pt/eleicoes-legislativas-2022/ventura-vs-chicao-um-debate-na-lama-e-uma-triste-imagem-de-duas-direitas-notas-e-analises-dos-comentadores-expresso,https://expresso.pt/eleicoes-legislativas-2022/ventura-vs-chicao-um-debate-na-lama-e-uma-triste-imagem-de-duas-direitas-notas-e-analises-dos-comentadores-expresso/,,Ventura vs Chicão? Um debate na lama e uma triste imagem de duas direitas (notas e análises dos comentadores Expresso) - Expresso,"Se ainda for ver o debate entre os líderes do Chega e do CDS prepare-se: tem muito ruído e adjetivos pouco recomendáveis pela frente. Caso contrário, leia as notas e comentários aqui: foi o debate com mais notas negativas de todos - com Rodrigues dos Santos um pouco menos negativo",,,,661,6.89
20,Jornal de Notícias,jornalnoticias,216390522994,TOPIC_NEWSPAPER,PT,"Bem-vindo ao Facebook do Jornal de Notícias, um jornal de Portugal, de proximidade e de confiança.",2009-11-18 14:08:05,2268860.0,2284648.0,2022-01-23 20:06:00 WET,2022-01-23,20:06:00,Link,514,108,237,5,1,2,149,5,6,1,,-,0,0,0,,https://www.facebook.com/216390522994/posts/10161841883872995,,https://www.jn.pt/nacional/rodrigues-dos-santos-reage-a-oferta-de-casaco-militar-a-ventura-14519687.html,,,Rodrigues dos Santos reage a oferta de casaco militar a Ventura,"Depois de ex-combatentes terem oferecido ao líder do Chega um casaco militar camuflado, Francisco Rodrigues dos Santos reagiu com uma publicação na sua página oficial de Facebook: ""O uniforme e os restantes símbolos militares são para quem os mereceu, os percebe e os respeita"".",,,,514,4.36
24,CNN Portugal,cnnportugal,101826228779402,TV_CHANNEL,PT,"CNN Portugal. A força da informação, 24 horas por dia, em direto e em português.  Acompanhe no canal 7, em cnnportugal.pt e descarregue a nossa app. #EmTodasAsFrentes
",2021-05-24 11:30:20,1155496.0,1138998.0,2022-01-12 19:16:02 WET,2022-01-12,19:16:02,Link,471,88,284,7,8,2,70,11,1,0,,-,0,0,0,,https://www.facebook.com/101826228779402/posts/235846432044047,"No debate contra André Ventura, Francisco Rodrigues dos Santos acusa Ventura de defender tanto a extrema esquerda como a extrema direita.",https://cnnportugal.iol.pt/videos/rodrigues-dos-santos-exibe-fotografia-e-diz-que-ventura-so-e-contra-a-corrupcao-quando-nao-e-com-amigos-dele/61df21dc0cf21a10a41927c5?utm_source=facebook&utm_medium=social&utm_campaign=ed-cnnportugal,https://cnnportugal.iol.pt/videos/rodrigues-dos-santos-exibe-fotografia-e-diz-que-ventura-so-e-contra-a-corrupcao-quando-nao-e-com-amigos-dele/61df21dc0cf21a10a41927c5,,Rodrigues dos Santos exibe fotografia e diz que “Ventura só é contra a corrupção quando não é com amigos dele”,,,,,471,3.51
25,Expresso,jornalexpresso,43218682948,TOPIC_NEWSPAPER,PT,"Página oficial do Expresso no Facebook. As notícias e a opinião que interessam. Todos os dias, a todas as horas 
https://expresso.pt",2009-01-03 09:57:23,760765.0,796996.0,2022-01-12 11:30:24 WET,2022-01-12,11:30:24,Link,470,230,112,18,3,6,91,7,3,0,,-,0,0,0,,https://www.facebook.com/43218682948/posts/10159317250057949,"“Francisco Rodrigues dos Santos, talvez para aparentar modéstia, não falou muito de si. Ele é o primo antiquado que se veste como o avô. Atropela-se de tão rápido que fala, o que o torna cansativo, e precisa de muita atenção, pois está quase sem amigos.“ A opinião de Lourenço Pereira Coutinho",https://expresso.pt/opiniao/o-primo-modernaco-o-sem-maneiras-e-o-antiquado,https://expresso.pt/opiniao/o-primo-modernaco-o-sem-maneiras-e-o-antiquado/,,"O primo modernaço, o sem maneiras, e o antiquado","O primo sem maneiras é espertalhão e conta sempre as mesmas tiradas para chamar a atenção. Mas é sobretudo uma matraca narcísica que não deixa ninguém falar, faz estrapolações de má fé, contradiz-se, e dá pontapés por debaixo da mesa",,,,470,4.9
