,Page Name,User Name,Facebook Id,Page Category,Page Admin Top Country,Page Description,Page Created,Likes at Posting,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Is Video Owner?,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Sponsor Category,Total Interactions (weighted  —  Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x ),Overperforming Score
10,TSF - Rádio Notícias,tsfradio,174996242665,RADIO_STATION,PT,"Tudo o que se passa passa na TSF     
www.tsf.pt",2009-11-18 00:38:36,477153.0,491361.0,2022-01-19 13:45:02 WET,2022-01-19,13:45:02,Link,"1,385",502,597,24,102,7,50,20,82,1,,-,0,0,0,,https://www.facebook.com/174996242665/posts/10158658641142666,,https://www.tsf.pt/portugal/politica/touradas-nao-podemos-exibir-como-uma-bandeira-cultural-a-tortura-animal-14505617.html,,,Touradas são ″erro histórico″. ″Tortura animal″ não pode ser exibida como uma bandeira cultural,"No Fórum TSF, a líder do Partido Pessoas-Animais-Natureza defendeu que a tauromaquia é ″um erro histórico que tem tardado a ser corrigido″ e elencou outros exemplos de exploração animal. Inês Sousa Real contrapõe que há muitas outras formas de divertimento e de viver a cultura portugues...",,,,"1,385",23.88
17,Revista Visão,visaopt,44028982543,MEDIA_NEWS_COMPANY,PT,"A newsmagazine mais lida em Portugal.
Site: visao.sapo.pt
Email: visao@visao.pt
Instagram: @revista_visao",2009-01-12 18:04:14,560026.0,581577.0,2022-01-25 08:40:00 WET,2022-01-25,08:40:00,Link,826,131,154,198,3,30,160,19,129,2,,-,0,0,0,,https://www.facebook.com/44028982543/posts/10158637700447544,"Depois da polémica das estufas, os pesticidas: pelo menos uma das empresas agrícolas de Inês Sousa Real pediu autorização para aplicar um inseticida perigoso para os humanos e para a natureza. Além disso, libertou na sua produção uma subespécie de abelha considerada uma ameaça para as abelhas portuguesas. As páginas de Facebook de ambas as empresas, onde constavam estas informações, foram apagadas a dois dias do início da campanha eleitoral",https://visao.sapo.pt/visao_verde/ambiente/2022-01-24-empresa-agricola-ligada-a-lider-do-pan-pediu-autorizacao-para-aplicar-inseticida-perigoso-e-usou-abelhas-estrangeiras-que-ameacam-as-portuguesas/,,,"Visão | Empresa agrícola ligada à líder do PAN pediu autorização para aplicar inseticida perigoso e usou abelhas “estrangeiras”, que ameaçam as portuguesas","Depois da polémica das estufas, os pesticidas: pelo menos uma das empresas agrícolas de Inês Sousa Real pediu autorização para aplicar um inseticida perigoso para os humanos e para a natureza. Além disso, libertou na sua produção uma subespécie de abelha considerada uma ameaça para as abel...",,,,826,16.86
20,Correio da Manhã,cmjornal,469974510474,TOPIC_NEWSPAPER,PT,"Correio da Manhã, o jornal líder de audiências em Portugal, feito por pessoas a pensar em pessoas.
Site: https://www.cmjornal.pt",2010-02-12 09:43:08,1523876.0,1563459.0,2022-01-20 22:15:00 WET,2022-01-20,22:15:00,Link,798,227,350,16,20,4,159,15,6,1,,-,0,0,0,,https://www.facebook.com/469974510474/posts/10166294611375475,Manifestantes empunhavam uma faixa com o nome do grupo de forcados da capital do Baixo Alentejo,https://www.cmjornal.pt/cm-ao-minuto/detalhe/lider-do-pan-insultada-por-grupo-ligado-a-tauromaquia-em-beja?previewMode=1,https://www.cmjornal.pt/politica/detalhe/lider-do-pan-insultada-por-grupo-ligado-a-tauromaquia-em-beja,,Líder do PAN insultada por grupo ligado à tauromaquia em Beja,Manifestantes empunhavam uma faixa com o nome do grupo de forcados da capital do Baixo Alentejo.,,,,798,4.38
25,Expresso,jornalexpresso,43218682948,TOPIC_NEWSPAPER,PT,"Página oficial do Expresso no Facebook. As notícias e a opinião que interessam. Todos os dias, a todas as horas 
https://expresso.pt",2009-01-03 09:57:23,760725.0,796851.0,2022-01-08 22:31:08 WET,2022-01-08,22:31:08,Link,724,109,291,15,3,3,296,4,3,0,,-,0,0,0,,https://www.facebook.com/43218682948/posts/10159311448342949,"Nem António Costa, nem Inês Sousa Real jogaram para goleada. Mas o debate entre o que sobra da geringonça é elogiado por todos. No fim, três empates e uma vitória para cada um. Leia os comentários e notas",https://expresso.pt/eleicoes-legislativas-2022/costa-vs-sousa-real-empate-mais-empate-nao-ha-as-notas-e-analises-dos-comentadores-expresso,https://expresso.pt/eleicoes-legislativas-2022/costa-vs-sousa-real-empate-mais-empate-nao-ha-as-notas-e-analises-dos-comentadores-expresso/,,Costa vs. Sousa Real: empate mais empate não há (as notas e análises dos comentadores Expresso),,,,,724,7.46
26,CNN Portugal,cnnportugal,101826228779402,TV_CHANNEL,PT,"CNN Portugal. A força da informação, 24 horas por dia, em direto e em português.  Acompanhe no canal 7, em cnnportugal.pt e descarregue a nossa app. #EmTodasAsFrentes
",2021-05-24 11:30:20,1156405.0,1140504.0,2022-01-20 19:15:13 WET,2022-01-20,19:15:13,Link,704,171,263,23,37,2,176,19,12,1,,-,0,0,0,,https://www.facebook.com/101826228779402/posts/241678461460844,"O conjunto de manifestantes foi ainda fotografado a agitar um chocalho e ouvido a entoar “eh, toiro“, na direção da líder do PAN.",https://cnnportugal.iol.pt/ines-sousa-real/tauromaquia/profundamente-lamentavel-lider-do-pan-recebida-no-aeroporto-de-beja-com-insultos-e-um-chocalho/20220120/61e9affe0cf2c7ea0f145803?utm_source=facebook&utm_medium=social&utm_campaign=ed-cnnportugal,https://cnnportugal.iol.pt/ines-sousa-real/tauromaquia/profundamente-lamentavel-lider-do-pan-recebida-no-aeroporto-de-beja-com-insultos-e-um-chocalho/20220120/61e9affe0cf2c7ea0f145803,,“Profundamente lamentável“: líder do PAN recebida no aeroporto de Beja com insultos e um chocalho,,,,,704,5.59
28,CNN Portugal,cnnportugal,101826228779402,TV_CHANNEL,PT,"CNN Portugal. A força da informação, 24 horas por dia, em direto e em português.  Acompanhe no canal 7, em cnnportugal.pt e descarregue a nossa app. #EmTodasAsFrentes
",2021-05-24 11:30:20,1155333.0,1138709.0,2022-01-08 21:04:32 WET,2022-01-08,21:04:32,Live Video Complete,690,208,362,36,27,0,15,3,39,0,owned,Yes,10150,10389,0,00:29:12,https://www.facebook.com/101826228779402/posts/227836666182642,António Costa em debate com Inês Sousa Real,https://www.facebook.com/cnnportugal/videos/227836666182642/,,,Decisão22: Debate PS-PAN,,,,,690,-2.15
31,SIC Notícias,sicnoticias,150808986387,TV_CHANNEL,PT,"Obrigado por visitar a SIC Notícias. 

Aqui pode seguir os conteúdos que passam na televisão e os exclusivos do site: em texto, vídeo e em fotos. 

Acompanhe também as notícias de última hora em direto. 

http://sicnoticias.pt/ ",2009-09-09 10:03:09,1764159.0,1941220.0,2022-01-20 19:26:06 WET,2022-01-20,19:26:06,Link,625,181,280,8,18,2,86,32,18,0,,-,0,0,0,,https://www.facebook.com/150808986387/posts/10160395954181388,Algumas pessoas tinham chocalhos.,https://sicnoticias.pt/eleicoes-legislativas/legislativas-lider-do-pan-insultada-por-grupo-ligado-a-tauromaquia-em-beja,https://sicnoticias.pt/eleicoes-legislativas/legislativas-lider-do-pan-insultada-por-grupo-ligado-a-tauromaquia-em-beja/,,Legislativas: líder do PAN insultada por grupo ligado à tauromaquia em Beja,,,,,625,6.87
33,Observador,ObservadorOnTime,111978555633494,NEWS_SITE,PT,"Obrigado por visitar o Observador no Facebook. Aqui queremos partilhar informação, interagir com os nossos leitores e discutir ideias.",2012-11-27 14:41:38,828811.0,934930.0,2022-01-11 19:31:15 WET,2022-01-11,19:31:15,Link,600,23,278,40,2,5,193,9,48,2,,-,0,0,0,,https://www.facebook.com/111978555633494/posts/2281097442054917,Inês Sousa Real foi até ao Porto apresentar o programa eleitoral do partido que traz algumas novidades. Além da tauromaquia o partido acrescentou à lista de proibições a pesca e caça desportivas.,https://observador.pt/2022/01/11/pan-quer-salario-minimo-nos-905-euros-ate-2026-e-acrescenta-a-pesca-e-caca-desportivas-as-proibicoes/?utm_medium=Social&utm_source=Facebook#Echobox=1641928768,https://observador.pt/2022/01/11/pan-quer-salario-minimo-nos-905-euros-ate-2026-e-acrescenta-a-pesca-e-caca-desportivas-as-proibicoes/,,PAN quer salário mínimo nos 905 euros até 2026 e acrescenta a pesca e caça desportivas às proibições,,,,,600,6.9
37,Diário de Notícias,DiariodeNoticias.pt,196064380421881,MEDIA_NEWS_COMPANY,PT,Esta é a página Facebook do Diário de Notícias - Há mais de 150 anos a contar as histórias de Portugal e do mundo,2011-02-24 13:02:07,1328993.0,1335885.0,2022-01-25 07:00:01 WET,2022-01-25,07:00:01,Link,514,79,166,96,1,8,111,11,42,0,,-,0,0,0,,https://www.facebook.com/196064380421881/posts/5484661301562136,,https://www.dn.pt/politica/nova-polemica-ambiental-com-a-lider-do-pan-pesticida-e-abelhas-perigosos-em-exploracoes-agricolas-14523651.html,,,Nova polémica ambiental com a líder do PAN. Pesticida e abelhas ″perigosos″ em explorações agrícolas,Empresas de Inês Sousa Real pediram autorização para utilizar inseticida sintético e libertaram uma subespécie de abelhas que especialistas consideram ameaçar as espécies nacionais. Páginas das redes sociais alteradas nas vésperas do início da campanha eleitoral.,,,,514,4.67
41,TSF - Rádio Notícias,tsfradio,174996242665,RADIO_STATION,PT,"Tudo o que se passa passa na TSF     
www.tsf.pt",2009-11-18 00:38:36,477153.0,491361.0,2022-01-19 17:00:02 WET,2022-01-19,17:00:02,Link,462,27,209,8,1,5,173,6,33,0,,-,0,0,0,,https://www.facebook.com/174996242665/posts/10158658741477666,,https://www.tsf.pt/portugal/politica/pan-propoe-diminuir-idade-admitida-para-votar-para-os-16-anos-14505796.html,,,PAN propõe diminuir idade admitida para votar para os 16 anos,"Além de propor um círculo eleitoral extra contra os votos desperdiçados, Inês Sousa Real sugere diminuir a idade admissível para votar para os 16 anos.",,,,462,7.97
