,Page Name,User Name,Facebook Id,Page Category,Page Admin Top Country,Page Description,Page Created,Likes at Posting,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Is Video Owner?,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Sponsor Category,Total Interactions (weighted  —  Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x ),Overperforming Score
11,CNN Portugal,cnnportugal,101826228779402,TV_CHANNEL,PT,"CNN Portugal. A força da informação, 24 horas por dia, em direto e em português.  Acompanhe no canal 7, em cnnportugal.pt e descarregue a nossa app. #EmTodasAsFrentes
",2021-05-24 11:30:20,1154994,1138155,2022-01-04 21:06:02 WET,2022-01-04,21:06:02,Live Video Complete,"1,070",261,542,93,56,3,61,9,41,4,owned,Yes,18268,18760,0,00:28:16,https://www.facebook.com/101826228779402/posts/640325547164166,DECISÃO 22: Veja aqui o debate entre António Costa e Jerónimo Sousa na íntegra e deixe os seus comentários. Quem ganhou? Leia mais aqui: https://swki.me/JDyv3V9j:=:https://cnnportugal.iol.pt/antonio-costa/jeronimo-de-sousa/costa-sem-confianca-noutra-geringonca-critica-irresponsabilidade-do-pcp-jeronimo-quer-negociar-e-dispensa-futurologia/20520104/61d4be950cf2cc58e7db20a8,https://www.facebook.com/cnnportugal/videos/640325547164166/,,,Debate PS-PCP,,,,,"1,070",-1.39
13,Expresso,jornalexpresso,43218682948,TOPIC_NEWSPAPER,PT,"Página oficial do Expresso no Facebook. As notícias e a opinião que interessam. Todos os dias, a todas as horas 
https://expresso.pt",2009-01-03 09:57:23,760745,796957,2022-01-11 14:00:29 WET,2022-01-11,14:00:29,Link,850,227,271,28,3,8,14,87,2,210,,-,0,0,0,,https://www.facebook.com/43218682948/posts/10159315723027949,"O secretário-geral do PCP, Jerónimo de Sousa, terá sofrido um acidente isquémico transitório (AIT) ou um acidente vascular cerebral (AVC). A cirurgia urgente será feita para evitar uma repetição com maior gravidade",https://expresso.pt/sociedade/jeronimo-de-sousa-o-que-e-uma-estenose-carotida-e-grave-quais-os-sintomas-e-as-consequencias-quando-tera-alta,https://expresso.pt/sociedade/jeronimo-de-sousa-o-que-e-uma-estenose-carotida-e-grave-quais-os-sintomas-e-as-consequencias-quando-tera-alta/,,Jerónimo de Sousa: o que é uma estenose carótida? É grave? Quais os sintomas e as consequências? Quando terá alta? - Expresso,O secretário-geral do PCP sofreu um acidente isquémico transitório ou um acidente vascular cerebral ligeiros devido a aperto na artéria que leva o sangue do coração até ao cérebro. Procedimento urgente visa libertar obstrução na carótida,,,,850,8.85
16,SIC Notícias,sicnoticias,150808986387,TV_CHANNEL,PT,"Obrigado por visitar a SIC Notícias. 

Aqui pode seguir os conteúdos que passam na televisão e os exclusivos do site: em texto, vídeo e em fotos. 

Acompanhe também as notícias de última hora em direto. 

http://sicnoticias.pt/ ",2009-09-09 10:03:09,1763950,1940952,2022-01-13 13:21:08 WET,2022-01-13,13:21:08,Link,830,528,224,4,55,1,5,1,2,10,,-,0,0,0,,https://www.facebook.com/150808986387/posts/10160381768626388,O Partido Comunista Português (PCP) informa ainda que Jerónimo de Sousa “já despertou da anestesia“.,https://sicnoticias.pt/pais/jeronimo-de-sousa-ja-foi-operado-cirurgia-foi-um-exito,https://sicnoticias.pt/pais/jeronimo-de-sousa-ja-foi-operado-cirurgia-foi-um-exito/,,Jerónimo de Sousa já foi operado. Cirurgia foi “um êxito”,,,,,830,8.22
20,CNN Portugal,cnnportugal,101826228779402,TV_CHANNEL,PT,"CNN Portugal. A força da informação, 24 horas por dia, em direto e em português.  Acompanhe no canal 7, em cnnportugal.pt e descarregue a nossa app. #EmTodasAsFrentes
",2021-05-24 11:30:20,1155447,1138917,2022-01-11 10:38:04 WET,2022-01-11,10:38:04,Link,653,107,382,11,1,12,7,29,0,104,,-,0,0,0,,https://www.facebook.com/101826228779402/posts/234802775481746,| CNN ALERTA | João Oliveira e João Ferreira substituem Jerónimo de Sousa na campanha do PCP,https://cnnportugal.iol.pt/geral/jeronimo-de-sousa-vai-ser-operado-de-urgencia/20220111/61dd5d8b0cf2c7ea0f126d39?utm_source=facebook&utm_medium=social&utm_campaign=ed-cnnportugal,https://cnnportugal.iol.pt/geral/jeronimo-de-sousa-vai-ser-operado-de-urgencia/20220111/61dd5d8b0cf2c7ea0f126d39,,Jerónimo de Sousa vai ser operado de urgência,Secretário-geral do PCP será substituído por João Oliveira e João Ferreira na campanha,,,,653,4.87
21,Expresso,jornalexpresso,43218682948,TOPIC_NEWSPAPER,PT,"Página oficial do Expresso no Facebook. As notícias e a opinião que interessam. Todos os dias, a todas as horas 
https://expresso.pt",2009-01-03 09:57:23,760765,796996,2022-01-12 22:40:07 WET,2022-01-12,22:40:07,Link,647,159,319,9,1,2,141,2,12,2,,-,0,0,0,,https://www.facebook.com/43218682948/posts/10159318170077949,"Se Jerónimo não foi feliz contra Costa, o seu sucessor nos debates foi combativo e eficaz contra Rio – mas apontando contra o PS. Os comentadores Expresso dão-lhe um empate absoluto (veja notas e análises)",https://expresso.pt/eleicoes-legislativas-2022/na-estreia-joao-oliveira-empatou-com-rui-rio-e-superou-jeronimo-notas-e-analises-dos-comentadores-expresso,https://expresso.pt/eleicoes-legislativas-2022/na-estreia-joao-oliveira-empatou-com-rui-rio-e-superou-jeronimo-notas-e-analises-dos-comentadores-expresso/,,"Na estreia, João Oliveira empatou com Rui Rio - e superou Jerónimo (notas e análises dos comentadores Expresso) - Expresso","Se Jerónimo não foi feliz contra Costa, o seu sucessor nos debates foi combativo e eficaz contra Rio - mas apontando contra o PS. Os comentadores Expresso dão-lhe um empate absoluto (veja notas e análises)",,,,647,6.74
25,SIC Notícias,sicnoticias,150808986387,TV_CHANNEL,PT,"Obrigado por visitar a SIC Notícias. 

Aqui pode seguir os conteúdos que passam na televisão e os exclusivos do site: em texto, vídeo e em fotos. 

Acompanhe também as notícias de última hora em direto. 

http://sicnoticias.pt/ ",2009-09-09 10:03:09,1763861,1940857,2022-01-11 10:36:26 WET,2022-01-11,10:36:26,Link,629,151,343,15,0,8,18,7,0,87,,-,0,0,0,,https://www.facebook.com/150808986387/posts/10160377481721388,"Jerónimo de Sousa será substituído, entretanto, por João Oliveira e João Ferreira, prevendo-se que retome a atividade a 23 de fevereiro.",https://sicnoticias.pt/pais/jeronimo-de-sousa-vai-ser-operado-de-urgencia-e-falha-campanha-durante-10-dias/,https://sicnoticias.pt/eleicoes-legislativas/jeronimo-de-sousa-vai-ser-operado-de-urgencia-e-falha-campanha-durante-10-dias/,,Jerónimo de Sousa vai ser operado de urgência e falha campanha durante 10 dias,Em atualização.,,,,629,6.11
26,Observador,ObservadorOnTime,111978555633494,NEWS_SITE,PT,"Obrigado por visitar o Observador no Facebook. Aqui queremos partilhar informação, interagir com os nossos leitores e discutir ideias.",2012-11-27 14:41:38,828811,934930,2022-01-11 13:07:57 WET,2022-01-11,13:07:57,Link,624,235,234,15,5,7,11,6,0,111,,-,0,0,0,,https://www.facebook.com/111978555633494/posts/2280821575415837,"A estenose da carótida, que vai obrigar Jerónimo de Sousa a interromper as atividades de campanha, é um estreitamento da artéria que leva o sangue ao cérebro. Se não for tratada pode provocar AVC.",https://observador.pt/2022/01/11/cirurgia-de-jeronimo-de-sousa-e-de-muito-baixo-risco-e-recuperacao-quase-imediata-o-que-e-a-estenose-carotidea/?utm_medium=Social&utm_source=Facebook#Echobox=1641905607,https://observador.pt/2022/01/11/cirurgia-de-jeronimo-de-sousa-e-de-muito-baixo-risco-e-recuperacao-quase-imediata-o-que-e-a-estenose-carotidea/,,"Cirurgia de Jerónimo de Sousa é de ""muito baixo risco e recuperação quase imediata"". O que é a estenose carotídea?",,,,,624,7.17
30,Jornal de Notícias,jornalnoticias,216390522994,TOPIC_NEWSPAPER,PT,"Bem-vindo ao Facebook do Jornal de Notícias, um jornal de Portugal, de proximidade e de confiança.",2009-11-18 14:08:05,2268781,2284333,2022-01-11 10:43:54 WET,2022-01-11,10:43:54,Link,558,128,292,7,1,8,25,20,1,76,,-,0,0,0,,https://www.facebook.com/216390522994/posts/10161814117082995,,https://www.jn.pt/nacional/jeronimo-de-sousa-vai-ser-operado-e-falha-campanha-durante-dez-dias-14480044.html,,,Jerónimo de Sousa operado de urgência falha parte da campanha eleitoral,O líder comunista vai ser submetido a uma intervenção cirúrgica urgente à carótida interna esquerda. João Oliveira e João Ferreira vão substituí-lo nas ações de campanha.,,,,558,4.54
31,Diário de Notícias,DiariodeNoticias.pt,196064380421881,MEDIA_NEWS_COMPANY,PT,Esta é a página Facebook do Diário de Notícias - Há mais de 150 anos a contar as histórias de Portugal e do mundo,2011-02-24 13:02:07,1329034,1335787,2022-01-09 00:52:09 WET,2022-01-09,00:52:09,Link,537,80,284,15,1,4,142,4,6,1,,-,0,0,0,,https://www.facebook.com/196064380421881/posts/5416561485038785,,https://www.dn.pt/politica/jeronimo-desafia-portugueses-a-refletirem-sobre-o-seu-futuro-antes-de-votarem-14474087.html,,,Jerónimo desafia portugueses a refletirem sobre o seu futuro antes de votarem,"""A maioria absoluta [nas próximas eleições legislativas] com que sonha o PS, ou os arranjinhos com o PSD que também já preparam, visam livrar-se do PCP e do PEV, da sua influência e das suas propostas a favor dos trabalhadores e do povo"", disse o líder comunista.",,,,537,4.44
32,SIC Notícias,sicnoticias,150808986387,TV_CHANNEL,PT,"Obrigado por visitar a SIC Notícias. 

Aqui pode seguir os conteúdos que passam na televisão e os exclusivos do site: em texto, vídeo e em fotos. 

Acompanhe também as notícias de última hora em direto. 

http://sicnoticias.pt/ ",2009-09-09 10:03:09,1763861,1940857,2022-01-11 14:11:00 WET,2022-01-11,14:11:00,Link,522,170,131,35,6,14,80,64,11,11,,-,0,0,0,,https://www.facebook.com/150808986387/posts/10160377759851388,"A poucos dias do arranque da campanha eleitoral, houve uma baixa de peso: Jerónimo de Sousa. O secretário-geral do PCP vai ser submetido a uma intervenção cirúrgica urgente. No Expresso",https://expresso.pt/coronavirus/covid-19-omicron-pode-contagiar-50-da-populacao-europeia-nas-proximas-semanas/,,,Covid-19: Ómicron pode contagiar 50% da população europeia nas próximas semanas,"OMS alerta para a necessidade de ""não subestimar"" a nova variante e atribui casos mais moderados à vacinação",,,,522,5.07
