,Page Name,User Name,Facebook Id,Page Category,Page Admin Top Country,Page Description,Page Created,Likes at Posting,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Is Video Owner?,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Sponsor Category,Total Interactions (weighted  —  Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x ),Overperforming Score
22,Observador,ObservadorOnTime,111978555633494,NEWS_SITE,PT,"Obrigado por visitar o Observador no Facebook. Aqui queremos partilhar informação, interagir com os nossos leitores e discutir ideias.",2012-11-27 14:41:38,828785.0,934720.0,2022-01-09 08:21:41 WET,2022-01-09,08:21:41,Link,"1,154",538,422,22,68,2,84,3,12,3,,-,0,0,0,,https://www.facebook.com/111978555633494/posts/2278908092273852,"O partido liderado por João Cotrim Figueiredo quer ""pôr Portugal a crescer; devolver o poder às pessoas; combater a corrupção; aproximar as pessoas do poder e emagrecer o Estado"".",https://observador.pt/2022/01/08/il-quer-reduzir-irs-e-irc-e-nao-abdica-de-privatizar-tap-caixa-e-rtp/?utm_term=Autofeed&utm_medium=Social&utm_source=Facebook#Echobox=1641688383,,,"IL quer reduzir IRS e IRC e não abdica de privatizar TAP, Caixa e RTP",,,,,"1,154",13.11
28,SIC Notícias,sicnoticias,150808986387,TV_CHANNEL,PT,"Obrigado por visitar a SIC Notícias. 

Aqui pode seguir os conteúdos que passam na televisão e os exclusivos do site: em texto, vídeo e em fotos. 

Acompanhe também as notícias de última hora em direto. 

http://sicnoticias.pt/ ",2009-09-09 10:03:09,1764040.0,1941065.0,2022-01-15 12:40:34 WET,2022-01-15,12:40:34,Link,"1,020",490,364,41,7,3,90,6,18,1,,-,0,0,0,,https://www.facebook.com/150808986387/posts/10160385695926388,"“Quem tem tanta ânsia, tanta fome, tanta vontade de se agarrar ao poder, não pode ser um partido que tem os interesses do país em primeiro lugar”, acusa João Cotrim Figueiredo.",https://sicnoticias.pt/eleicoes-legislativas/iniciativa-liberal-avisa-que-o-ps-tudo-faz-para-se-manter-no-poder/,,,Iniciativa Liberal avisa que o PS tudo faz para se manter no poder,"“Quem tem tanta ânsia, tanta fome, tanta vontade de se agarrar ao poder, não pode ser um partido que tem os interesses do país em primeiro lugar”, acusa João Cotrim Figueiredo.",,,,"1,020",10.1
56,CNN Portugal,cnnportugal,101826228779402,TV_CHANNEL,PT,"CNN Portugal. A força da informação, 24 horas por dia, em direto e em português.  Acompanhe no canal 7, em cnnportugal.pt e descarregue a nossa app. #EmTodasAsFrentes
",2021-05-24 11:30:20,1157162.0,1141493.0,2022-01-28 22:30:13 WET,2022-01-28,22:30:13,Photo,700,360,246,24,12,6,44,3,4,1,,-,0,0,0,,https://www.facebook.com/101826228779402/posts/247283310900359,"O líder da Iniciativa Liberal tem razão. Quem quer viajar pela TAP do Porto para Faro não o pode fazer de forma direta, apenas é possível após uma escala em Lisboa. Há, no entanto, uma companhia aérea privada que assegura esta ligação. No site da Ryanair, podemos comprar passagens do Porto para Faro para qualquer dia da semana menos terça-feira. As declarações de João Cotrim de Figueiredo foram analisadas em “Factos Primeiro”, a nova newsletter da CNN Portugal, e a conclusão é: Verdadeiro. Saiba mais em https://swki.me/nebAAKkQ:=:https://cnnportugal.iol.pt/aominuto/61f3c23f0cf2c7ea0f15c863",https://www.facebook.com/cnnportugal/photos/a.129237229371635/247283310900359/?type=3,,FACTOS PRIMEIRO Desafio-vos a chegar ao aeroporto e a encontrar um voo direto (da TAP) do Porto para Faro. Não há Cotrim de Figueiredo Presidente da Iniciativa Liberal DECISÃO 22 NERDADERO VERDAD OROVOUEN,Timeline photos,,,,,700,5.11
62,CNN Portugal,cnnportugal,101826228779402,TV_CHANNEL,PT,"CNN Portugal. A força da informação, 24 horas por dia, em direto e em português.  Acompanhe no canal 7, em cnnportugal.pt e descarregue a nossa app. #EmTodasAsFrentes
",2021-05-24 11:30:20,1155769.0,1139537.0,2022-01-14 21:12:50 WET,2022-01-14,21:12:50,Live Video Complete,626,180,358,28,25,1,27,2,5,0,owned,Yes,12374,12654,0,00:28:14,https://www.facebook.com/101826228779402/posts/691474358511139,Acompanhe aqui o debate entre o António Costa e João Cotrim de Figueiredo e deixe os seus comentários.,https://www.facebook.com/cnnportugal/videos/691474358511139/,,,Decisão 22: Debate PS vs IL,,,,,626,-2.37
73,SIC Notícias,sicnoticias,150808986387,TV_CHANNEL,PT,"Obrigado por visitar a SIC Notícias. 

Aqui pode seguir os conteúdos que passam na televisão e os exclusivos do site: em texto, vídeo e em fotos. 

Acompanhe também as notícias de última hora em direto. 

http://sicnoticias.pt/ ",2009-09-09 10:03:09,1764345.0,1941895.0,2022-01-27 17:21:00 WET,2022-01-27,17:21:00,Link,538,184,285,5,4,1,52,1,6,0,,-,0,0,0,,https://www.facebook.com/150808986387/posts/10160410050986388,"Aos 15 anos, vendia cabides num negócio que nasceu pelas mãos do bisavô. Aos 60, ambiciona fazer crescer o número de deputados do Iniciativa Liberal, no Parlamento. Conheça, aqui, João Cotrim Figueiredo:",https://sicnoticias.pt/eleicoes-legislativas/joao-cotrim-de-figueiredo-o-homem-que-era-liberal-e-nao-sabia/,,,"João Cotrim de Figueiredo, o homem que era liberal e não sabia - SIC Notícias","Aos 15 anos, vendia cabides num negócio que nasceu pelas mãos do bisavô. Aos 60, ambiciona fazer crescer o número de deputados do Iniciativa Liberal no Parlamento – e também o país. O perfil daquele que poderá vir a ser o rosto de uma nova Direita.",,,,538,7.8
74,CNN Portugal,cnnportugal,101826228779402,TV_CHANNEL,PT,"CNN Portugal. A força da informação, 24 horas por dia, em direto e em português.  Acompanhe no canal 7, em cnnportugal.pt e descarregue a nossa app. #EmTodasAsFrentes
",2021-05-24 11:30:20,1156181.0,1140156.0,2022-01-17 23:35:07 WET,2022-01-17,23:35:07,Link,535,190,255,7,5,2,75,0,0,1,,-,0,0,0,,https://www.facebook.com/101826228779402/posts/239754808319876,João Cotrim de Figueiredo diz que na proposta fiscal da IL todos os portugueses pagariam menos impostos.,https://cnnportugal.iol.pt/videos/il-insiste-que-descida-dos-impostos-e-a-forma-mais-rapida-de-subir-os-salarios-liquidos/61e5ec030cf2c7ea0f13c916?utm_source=facebook&utm_medium=social&utm_campaign=ed-cnnportugal,https://cnnportugal.iol.pt/videos/ricos-pobres-remediados-classe-media-classe-alta-etc-as-explicacoes-de-cotrim-que-envolvem-um-simulador-para-explicar-como-todos-podem-pagar-menos-irs/61e5ec030cf2c7ea0f13c916,,IL insiste que descida dos impostos é “a forma mais rápida de subir os salários líquidos“,,,,,535,4.25
83,Expresso,jornalexpresso,43218682948,TOPIC_NEWSPAPER,PT,"Página oficial do Expresso no Facebook. As notícias e a opinião que interessam. Todos os dias, a todas as horas 
https://expresso.pt",2009-01-03 09:57:23,760850.0,797358.0,2022-01-22 01:46:06 WET,2022-01-22,01:46:06,Link,483,288,120,5,24,0,41,2,3,0,,-,0,0,0,,https://www.facebook.com/43218682948/posts/10159333498307949,"O partido passou o dia de campanha praticamente todo na escola, onde João Cotrim de Figueiredo reviu várias lições - incluindo as dificuldades de inovar e produzir conhecimento em Portugal - e ficou fascinado com um grupo de jovens a construir robots. Seguiu-se uma arruada noturna (e muito animada) em Lisboa, onde o líder do partido foi o centro das atenções",https://expresso.pt/eleicoes-legislativas-2022/a-mancha-azul-foi-a-rua-cor-de-rosa-jovens-renderam-se-a-arruada-noturna-da-il,https://expresso.pt/eleicoes-legislativas-2022/a-mancha-azul-foi-a-rua-cor-de-rosa-jovens-renderam-se-a-arruada-noturna-da-il/,,A mancha azul foi à Rua Cor de Rosa. Jovens renderam-se à arruada noturna da IL,,,,,483,5.25
84,CNN Portugal,cnnportugal,101826228779402,TV_CHANNEL,PT,"CNN Portugal. A força da informação, 24 horas por dia, em direto e em português.  Acompanhe no canal 7, em cnnportugal.pt e descarregue a nossa app. #EmTodasAsFrentes
",2021-05-24 11:30:20,1155396.0,1138841.0,2022-01-10 06:00:11 WET,2022-01-10,06:00:11,Link,480,145,198,10,23,2,91,5,6,0,,-,0,0,0,,https://www.facebook.com/101826228779402/posts/233914848903872,"João Cotrim de Figueiredo afirma que o partido de André Ventura “não é competente, nem confiável“.",https://cnnportugal.iol.pt/videos/ja-vi-trabalhos-do-ensino-secundario-com-mais-densidade-que-o-programa-do-chega/61db5f640cf2c7ea0f1227fe?utm_source=facebook&utm_medium=social&utm_campaign=ed-cnnportugal,,,"""Já vi trabalhos do ensino secundário com mais densidade que o programa do Chega""","João Cotrim de Figueiredo afirma que o partido de André Ventura ""não é competente, nem confiável""",,,,480,3.58
88,Expresso,jornalexpresso,43218682948,TOPIC_NEWSPAPER,PT,"Página oficial do Expresso no Facebook. As notícias e a opinião que interessam. Todos os dias, a todas as horas 
https://expresso.pt",2009-01-03 09:57:23,760742.0,796925.0,2022-01-10 22:34:43 WET,2022-01-10,22:34:43,Link,464,216,153,16,18,1,54,0,3,3,,-,0,0,0,,https://www.facebook.com/43218682948/posts/10159314774452949,"Foi o debate com notas mais altas, o duelo da direta de que se fala. Terminou em empate técnico, com ligeira vantagem para o liberal",https://expresso.pt/eleicoes-legislativas-2022/no-rio-vs-cotrim-negociou-se-em-direto-e-ninguem-perdeu-notas-e-analises-dos-comentadores-expresso/,,,No Rio vs Cotrim negociou-se em direto – e ninguém perdeu (notas e análises dos comentadores Expresso),"Foi o debate com notas mais altas, o duelo da direta que se fala. Rui Rio e Cotrim Figueiredo acabaram com um empate técnico, com ligeira vantagem para o liberal. Os dois aproximaram-se no essencial, mas marcando diferenças. Veja as notas e comentários",,,,464,4.83
90,Expresso,jornalexpresso,43218682948,TOPIC_NEWSPAPER,PT,"Página oficial do Expresso no Facebook. As notícias e a opinião que interessam. Todos os dias, a todas as horas 
https://expresso.pt",2009-01-03 09:57:23,760732.0,796883.0,2022-01-10 00:01:11 WET,2022-01-10,00:01:11,Link,460,186,149,4,6,5,103,2,5,0,,-,0,0,0,,https://www.facebook.com/43218682948/posts/10159313375847949,"João Cotrim de Figueiredo não poupou na artilharia contra André Ventura, mas fê-lo com cordialidade. O presidente do Chega acusou os liberais de se terem vendido ao PSD, enquanto o líder da IL lhe apontou a falta de confiabilidade e competência",https://expresso.pt/eleicoes-legislativas-2022/chega-a-perder-gas-e-il-a-ser-cool-no-principe-real-um-debate-para-separar-aguas,https://expresso.pt/eleicoes-legislativas-2022/chega-a-perder-gas-e-il-a-ser-cool-no-principe-real-um-debate-para-separar-aguas/,,Chega “a perder gás” e IL a ser “cool no Príncipe Real”: um debate para separar águas,,,,,460,4.79
