,Page Name,User Name,Facebook Id,Page Category,Page Admin Top Country,Page Description,Page Created,Likes at Posting,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Is Video Owner?,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Sponsor Category,Total Interactions (weighted  —  Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x ),Overperforming Score
12,Expresso,jornalexpresso,43218682948,TOPIC_NEWSPAPER,PT,"Página oficial do Expresso no Facebook. As notícias e a opinião que interessam. Todos os dias, a todas as horas 
https://expresso.pt",2009-01-03 09:57:23,760641.0,796750.0,2022-01-06 09:00:42 WET,2022-01-06,09:00:42,Link,"1,885",406,810,67,67,12,502,8,11,2,,-,0,0,0,,https://www.facebook.com/43218682948/posts/10159307305467949,"Pode haver um debate esclarecedor entre dois pólos realmente opostos em tudo? Pode, respondem os comentadores do Expresso. Neste caso, vitória clara atribuída ao líder do Livre",https://expresso.pt/politica/rui-tavares-levou-ventura-as-cordas-e-fez-ko-as-notas-e-analises-dos-comentadores-expresso,https://expresso.pt/politica/rui-tavares-levou-ventura-as-cordas-e-fez-ko-as-notas-e-analises-dos-comentadores-expresso/,,Rui Tavares levou Ventura às cordas e fez KO (as notas e análises dos comentadores Expresso) - Expresso,"Pode haver um debate esclarecedor entre dois pólos realmente opostos em tudo? Pode, respondem os comentadores do Expresso. Neste caso, vitória clara atribuída ao líder do Livre",,,,"1,885",19.43
13,SIC Notícias,sicnoticias,150808986387,TV_CHANNEL,PT,"Obrigado por visitar a SIC Notícias. 

Aqui pode seguir os conteúdos que passam na televisão e os exclusivos do site: em texto, vídeo e em fotos. 

Acompanhe também as notícias de última hora em direto. 

http://sicnoticias.pt/ ",2009-09-09 10:03:09,1763675.0,1940405.0,2022-01-06 12:22:08 WET,2022-01-06,12:22:08,Link,"1,786",359,746,46,48,7,556,7,12,5,,-,0,0,0,,https://www.facebook.com/150808986387/posts/10160367992861388,"Pode haver um debate esclarecedor entre dois pólos realmente opostos em tudo? Pode, respondem os comentadores do Expresso. Neste caso, vitória clara atribuída ao líder do Livre. No Expresso",https://expresso.pt/eleicoes-legislativas-2022/rui-tavares-levou-ventura-as-cordas-e-fez-ko-as-notas-e-analises-dos-comentadores-expresso/,,,Rui Tavares levou Ventura às cordas e fez KO (as notas e análises dos comentadores Expresso),"Pode haver um debate esclarecedor entre dois pólos realmente opostos em tudo? Pode, respondem os comentadores do Expresso. Neste caso, vitória clara atribuída ao líder do Livre",,,,"1,786",17.34
17,CNN Portugal,cnnportugal,101826228779402,TV_CHANNEL,PT,"CNN Portugal. A força da informação, 24 horas por dia, em direto e em português.  Acompanhe no canal 7, em cnnportugal.pt e descarregue a nossa app. #EmTodasAsFrentes
",2021-05-24 11:30:20,1155036.0,1138258.0,2022-01-05 22:16:18 WET,2022-01-05,22:16:18,Live Video Complete,"1,366",205,934,73,74,7,27,5,36,5,owned,Yes,13149,13439,0,00:29:13,https://www.facebook.com/101826228779402/posts/224183083114743,Acompanhe aqui o debate entre André Ventura (Chega) e Rui Tavares (Livre) e deixe a sua opinião nos comentários.,https://www.facebook.com/cnnportugal/videos/224183083114743/,,,Acompanhe aqui o debate Chega vs Livre,,,,,"1,366",-1.09
18,SIC Notícias,sicnoticias,150808986387,TV_CHANNEL,PT,"Obrigado por visitar a SIC Notícias. 

Aqui pode seguir os conteúdos que passam na televisão e os exclusivos do site: em texto, vídeo e em fotos. 

Acompanhe também as notícias de última hora em direto. 

http://sicnoticias.pt/ ",2009-09-09 10:03:09,1763675.0,1940405.0,2022-01-06 01:06:06 WET,2022-01-06,01:06:06,Link,"1,353",297,813,35,16,9,167,6,5,5,,-,0,0,0,,https://www.facebook.com/150808986387/posts/10160367310196388,"Debate fica marcado pela alegação de Rui Tavares de que o Chega é financiado por “gente ligada à indústria do armamento“ e a casos de “burla do Estado angolano”, e a “gente com contas em offshore“.",https://sicnoticias.pt/eleicoes-legislativas/legislativas-tavares-critica-candidato-do-sistema-ventura-acusa-livre-de-ter-programa-anacronico,https://sicnoticias.pt/eleicoes-legislativas/legislativas-tavares-critica-candidato-do-sistema-ventura-acusa-livre-de-ter-programa-anacronico/,,"Legislativas: Tavares critica “candidato do sistema”, Ventura acusa Livre de ter programa “anacrónico”",,,,,"1,353",13.14
22,Jornal Económico,JornalEconomico,481006665428991,MEDIA_NEWS_COMPANY,PT,"A melhor informação sobre economia, política e negócios.",2016-08-23 16:16:16,420853.0,442440.0,2022-01-09 09:14:16 WET,2022-01-09,09:14:16,Link,"1,200",118,439,79,9,11,458,18,66,2,,-,0,0,0,,https://www.facebook.com/481006665428991/posts/1793775937485384,"Em entrevista à agência Lusa, dirigente do Livre Rui Tavares explicou a medidas já existe em França e poderia ser usada em situações específicas e por tempo limitado.",https://jornaleconomico.sapo.pt/noticias/livre-quer-dar-subsidio-de-desemprego-a-quem-se-despede-para-melhorar-qualificacoes-828800?utm_term=Autofeed&utm_medium=Social&utm_source=Facebook#Echobox=1641717222,,,Livre quer dar subsídio de desemprego a quem se despede para melhorar qualificações,,,,,"1,200",17.91
24,CNN Portugal,cnnportugal,101826228779402,TV_CHANNEL,PT,"CNN Portugal. A força da informação, 24 horas por dia, em direto e em português.  Acompanhe no canal 7, em cnnportugal.pt e descarregue a nossa app. #EmTodasAsFrentes
",2021-05-24 11:30:20,1155138.0,1138409.0,2022-01-06 08:45:08 WET,2022-01-06,08:45:08,Link,"1,055",145,618,47,5,2,222,5,10,1,,-,0,0,0,,https://www.facebook.com/101826228779402/posts/231123062516384,"Faltam 24 dias para as eleições e ainda não sabemos quem poderá ir votar. Mas já sabemos que é possível arrumar com André Ventura num debate, como Rui Tavares demonstrou. A coluna Folhetim de Voto, com análise e opinião de Filipe Santos Costa.",https://cnnportugal.iol.pt/cotrim-figueiredo/francisco-rodrigues-dos-santos/folhetim-de-voto-rui-tavares-despachou-andre-ventura-com-varios-zeros/20220106/61d6855f0cf2c7ea0f11611f?utm_source=facebook&utm_medium=social&utm_campaign=ed-cnnportugal,,,Folhetim de voto: Rui Tavares despachou André Ventura com vários zeros,"Faltam 24 dias para as eleições, e ainda não sabemos quem poderá ir votar - a solução para que quem está confinado possa ir às urnas depende do Governo. Mas já sabemos que é possível arrumar com André Ventura num debate, como Rui Tavares demonstrou. A coluna diária de análise e opiniã...",,,,"1,055",8.18
26,Observador,ObservadorOnTime,111978555633494,NEWS_SITE,PT,"Obrigado por visitar o Observador no Facebook. Aqui queremos partilhar informação, interagir com os nossos leitores e discutir ideias.",2012-11-27 14:41:38,829136.0,936089.0,2022-01-27 15:57:58 WET,2022-01-27,15:57:58,Link,999,55,435,12,3,2,466,9,15,2,,-,0,0,0,,https://www.facebook.com/111978555633494/posts/2294643217367006,"Rui Tavares considera que, se houver uma maioria de direita, Portugal entrará numa ""gravíssima crise política"". Para o evitar, diz que é necessário que a esquerda tenha ""sentido de responsabilidade"".",https://observador.pt/2022/01/27/rui-tavares-avisa-maioria-de-direita-trara-enorme-encruzilhada-ao-pais-e-gravissima-crise-politica/?utm_medium=Social&utm_source=Facebook#Echobox=1643297889,https://observador.pt/2022/01/27/rui-tavares-avisa-maioria-de-direita-trara-enorme-encruzilhada-ao-pais-e-gravissima-crise-politica/,,"Rui Tavares avisa: maioria de direita trará enorme ""encruzilhada"" ao país e ""gravíssima crise política""",,,,,999,19.21
29,CNN Portugal,cnnportugal,101826228779402,TV_CHANNEL,PT,"CNN Portugal. A força da informação, 24 horas por dia, em direto e em português.  Acompanhe no canal 7, em cnnportugal.pt e descarregue a nossa app. #EmTodasAsFrentes
",2021-05-24 11:30:20,1155036.0,1138258.0,2022-01-05 23:45:09 WET,2022-01-05,23:45:09,Link,866,268,447,28,27,2,77,4,12,1,,-,0,0,0,,https://www.facebook.com/101826228779402/posts/230898095872214,"André Ventura voltou a criticar o programa eleitoral do partido de Rui Tavares, por este defender que a quem nasce em Portugal deve ser automaticamente concedida a nacionalidade portuguesa.",https://cnnportugal.iol.pt/videos/finalmente-ha-uma-forca-o-chega-que-desmascara-a-extrema-esquerda-em-portugal-culmina-ventura/61d6245e0cf21a10a417cf4e?utm_source=facebook&utm_medium=social&utm_campaign=ed-cnnportugal,,,"“Finalmente, há uma força [o Chega] que desmascara a extrema-esquerda em Portugal”, culmina Ventura","No debate eleitoral entre o Livre e o Chega, André Ventura voltou a criticar o programa eleitoral do partido de Rui Tavares, por este defender que a quem nasce em Portugal deve ser automaticamente concedida a nacionalidade portuguesa.",,,,866,6.19
30,Observador,ObservadorOnTime,111978555633494,NEWS_SITE,PT,"Obrigado por visitar o Observador no Facebook. Aqui queremos partilhar informação, interagir com os nossos leitores e discutir ideias.",2012-11-27 14:41:38,829103.0,935902.0,2022-01-23 01:05:35 WET,2022-01-23,01:05:35,Link,864,78,282,6,2,14,445,13,22,2,,-,0,0,0,,https://www.facebook.com/111978555633494/posts/2290708174427177,"Em visita a Almada, o fundador do Livre alertou para o aumento da ciganofobia: ""Há partidos que têm propostas contra uma das comunidades que já sofre de mais preconceito secular em Portugal"".",https://observador.pt/2022/01/22/rui-tavares-alerta-em-almada-para-aumento-dos-niveis-de-ciganofobia/?utm_term=Autofeed&utm_medium=Social&utm_source=Facebook#Echobox=1642896768,https://observador.pt/2022/01/22/rui-tavares-alerta-em-almada-para-aumento-dos-niveis-de-ciganofobia/,,Rui Tavares alerta em Almada para aumento dos níveis de ciganofobia,,,,,864,12.71
31,Expresso,jornalexpresso,43218682948,TOPIC_NEWSPAPER,PT,"Página oficial do Expresso no Facebook. As notícias e a opinião que interessam. Todos os dias, a todas as horas 
https://expresso.pt",2009-01-03 09:57:23,760641.0,796750.0,2022-01-06 00:26:08 WET,2022-01-06,00:26:08,Link,824,214,456,5,9,4,132,0,1,3,,-,0,0,0,,https://www.facebook.com/43218682948/posts/10159306823277949,"Num frente a frente em que os adversários estão em lados diametralmente opostos, Rui Tavares e André Ventura trocaram acusações mútuas, mas falaram sobretudo para os seus eleitorados. Apesar do tom civilizado, o candidato do Livre surpreendeu logo ao ataque",https://expresso.pt/eleicoes-legislativas-2022/676,https://expresso.pt/eleicoes-legislativas-2022/676/,,"Entre Joacine e Vieira, o debate em que Tavares surpreendeu Ventura",,,,,824,8.49
