Page Name,User Name,Facebook Id,Page Category,Page Admin Top Country,Page Description,Page Created,Likes at Posting,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Is Video Owner?,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Sponsor Category,Total Interactions (weighted  —  Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x ),Overperforming Score
CNN Portugal,cnnportugal,101826228779402,TV_CHANNEL,PT,"CNN Portugal. A força da informação, 24 horas por dia, em direto e em português.  Acompanhe no canal 7, em cnnportugal.pt e descarregue a nossa app. #EmTodasAsFrentes
",2021-05-24 11:30:20,1155496,1138998,2022-01-12 18:31:14 WET,2022-01-12,18:31:14,Live Video Complete,"4,003",1092,1990,340,205,27,244,32,52,21,owned,Yes,83992,87139,0,00:32:40,https://www.facebook.com/101826228779402/posts/4484786718296648,Acompanhe aqui o debate entre André Ventura e Francisco Rodrigues dos Santos.,https://www.facebook.com/cnnportugal/videos/4484786718296648/,,,DECISÃO 22: Debate CDS - Chega,,,,,"4,003",2.7
Bilbia mt engarsada,Bilbiamtengarsada,510240512412959,ENTERTAINMENT_SITE,PT,Entertainment website,2014-10-29 22:08:00,413775,440786,2022-01-09 22:19:37 WET,2022-01-09,22:19:37,Photo,"3,125",1526,81,146,22,3,1338,1,2,6,,-,0,0,0,N/A,https://www.facebook.com/510240512412959/posts/4076175142486127,Ganda bunecu,https://www.facebook.com/Bilbiamtengarsada/photos/a.621607134609629/4076175109152797/?type=3,,sic ANTÃNIO COSTA 06:47 PS 04:42 CDS FRANCISCO RODRIGUES DOS SANTOS,,,,,,"3,125",1.14
Por Falar Noutra Coisa,PorFalarNoutraCoisa,100044315025046,COMEDIAN,PT,Blogue pessoal de tudo um pouco. A minha mãe diz que é giro por isso acho que deviam dar uma vista,2013-05-23 16:19:48,357098,364385,2022-01-26 19:15:20 WET,2022-01-26,19:15:20,Status,"2,952",1190,226,254,177,2,1102,1,0,0,,-,0,0,0,N/A,https://www.facebook.com/100044315025046/posts/489455122541651,"Como seria um date e um jantar com cada um dos candidatos às Eleições Legislativas? *** António Costa - PS Se eu fosse num date com António Costa dizia para ser ele a decidir o restaurante, mas ele ia dizer que tanto faz, que estava disponível para negociar qualquer tipo de comida, mas depois dizia que se não fosse sushi já não queria ir. Tudo bem, não gosto de sushi, mas num primeiro date faço o esforço. Chegávamos lá e não havia mesa porque o Costa se tinha enganado no dia, ao fazer a reserva. Ele não assumia o erro e dizia que tinha sido culpa do empregado, da pandemia, da crise ou do motorista do Cabrita. Lá nos arranjavam uma mesa, porque, entretanto e sem saber como, o Costa percebia que o dono do restaurante era da família dele. Tem família em todo o lado! A meio do jantar, Costa recebia um telefonema e ficava apreensivo. Eu dizia-lhe “Podes atender, é na boa” e ele dizia “É melhor não, é o meu ex que não me larga e me continua a ligar feito psicopata.”. Eu olhava de soslaio para o telemóvel e via o nome “Zé Sócrates” e perguntava-lhe “Porque é que não cortas relações e bloqueias esse número?” e ficava um silêncio estranho no ar. *** Rui Rio - PSD Jantar com Rui Rio tinha uma vantagem que era ser no Porto e no Porto (quase) nunca se come mal. Íamos comer uma francesinha ou mamar cachorrinhos enquanto virávamos minis. Perguntava-lhe como é que ia de dates e ele dizia que tinha aí umas quantas a fazerem-se a ele. Tanto vinham da esquerda como da direita e que ele papava tudo, que não está em idade de ser esquisito, que até andava a namorar uma que era uma maluca de extremos, mas que em noite de copos e de necessidade, podia surgir aquela booty call de aventura. Falávamos de economia e ele gabava-se de perceber muito disso e que contas era com ele e que nunca se engana e raramente tem dúvidas. Entretanto vinha a conta e ele nem olhava para ela, feito macho alfa, deixava uma nota de 100€ e íamos embora sem troco. Perguntava-lhe se era assim que ia tratar a despesa pública, sem verificar se meteram entradas na conta sem que tenhamos pedido nem comido? Ele ri-se e diz “Vou meter o jantar nas contas do partido, não faz mal se a conta estiver errada”. *** Catarina Martins - BE Teria de ser menu degustação, com bom vinho francês, num restaurante de uma zona nobre de Lisboa, para representar a classe trabalhadora. Não gosto muito desses restaurantes, mas a larica era tanta por termos fumado uma ganza antes que até o caviar me ia saber a pato. A Catarina pedia para darem os parabéns ao chef e a empregada dizia “É UMA chef, e acho de mau tom estar a assumir que é um homem. Buh, machismo!”. A Catarina desculpava-se, dizendo que não quis assumir que era uma mulher porque o lugar da mulher não é na cozinha, é onde ela quiser!” Nisto, chegava a conta e eu sugeria dividirmos e ela dizia “Pensei que fosses mais cavalheiro” e eu respondia que “igualdade no cu dos outros é refresco”. Ao irmos embora, ela despedia-se “Obrigado a todas e a todos os empregados e empregadas”. Sugeria uma ida ao cinema a seguir, eu escolhia o Matrix e ela dizia que só se fossemos ver o último da Mia Hansen-Love, em exibição no Nimas. Olhávamos os dois um para o outro e percebíamos que temos muita coisa que nos separa. *** Francisco Rodrigues dos Santos - CDS Tínhamos de ir a uma tasca gourmet, onde gostam de ir os agro-betos. Um restaurante no Campo Pequeno, com vista para a Praça de Toiros. Ia ser uma seca porque o Chicão ia querer rezar antes da refeição para agradecer a Deus o rabo de boi desconstruído em cama de espinafres e broa que tinha à frente. Eu perguntava-lhe porque é que ele não aceitou a minha sugestão de irmos ao restaurante do Ljubomir e ele só de ouvir o nome fazia cara de quem quer abortar e não pode. A certa altura, ele engasgava-se e começava, desesperado, a pedir ajuda para que eu lhe fizesse a manobra de Heimlich. Eu tinha de recusar. Primeiro, porque era o Chicão, depois porque um homem agarrar outro homem assim por trás é um bocado homossexual a não ser nos forcados ou no rubgy, depois, porque isso seria inteferir na morte natural exactamente como o que querem fazer ao aprovar a eutanásia. O melhor era eu ficar sentado, a assistir ao sofrimento, e deixar que a vontade de Deus seguisse o seu curso natural. *** Jerónimo de Sousa - PCP Jantar com Jerónimo de Sousa seria numa tasca bem portuguesa, com comida de tacho e vinho em copo de três. Jerónimo é daqueles à antiga que mete o guardanapo preso na camisola, estilo babete, para não se sujar enquanto come, especialmente por causa daquela espuma que ele faz nos cantos da boca. Eu perguntava-lhe quais as viagens de sonho dele e ele dizia Cuba, por causa das praias. “Coreia do Norte e Venezuela?”, perguntava-lhe, ao que ele respondia que também ouviu dizer que são países muito bonitos, com boa arquitectura, comida e democracia. Nisto, Jerónimo pega num pedaço de pão e molha-o no ovo do bitoque do prato de um casal na mesa do lado. Eles olham, surpreendidos e (truncated)",,,,,,,,,"2,952",-1.53
André Ventura,AndreAmaralVentura,101269364554956,POLITICIAN,PT,"Portugal precisa de uma 4ª República! Só acordando os portugueses e trabalhando juntos poderemos ter sucesso neste desafio.

Não podemos desistir, nem perder a esperança. Venha connosco reerguer Portugal!",2019-07-29 14:29:26,154205,174190,2022-01-12 20:20:49 WET,2022-01-12,20:20:49,Link,"2,642",1804,519,79,171,4,47,1,1,16,,-,0,0,0,N/A,https://www.facebook.com/101269364554956/posts/652581309423756,"A DIREITA MARIQUINHAS Hoje ficou claro que só há uma direita a sério em Portugal, sem medo das palavras e das decisões! Cá estamos para assumir as responsabilidades! https://cnnportugal.iol.pt/videos/o-cds-de-paulo-portas-teria-vergonha-do-cds-de-rodrigues-dos-santos/61df252e0cf2cc58e7dcb9d8",https://cnnportugal.iol.pt/videos/o-cds-de-paulo-portas-teria-vergonha-do-cds-de-rodrigues-dos-santos/61df252e0cf2cc58e7dcb9d8,,,"""O CDS de Paulo Portas teria vergonha do CDS de Rodrigues dos Santos""","No debate contra Francisco Rodrigues dos Santos na CNN Portugal, André Ventura diz que o líder centrista “esqueceu-se de tudo aquilo que defendeu” e que o CDS é um partido que andou “a implorar ao PSD e tem medo de ir a votos”",,,,"2,642",1.54
André Ventura,AndreAmaralVentura,101269364554956,POLITICIAN,PT,"Portugal precisa de uma 4ª República! Só acordando os portugueses e trabalhando juntos poderemos ter sucesso neste desafio.

Não podemos desistir, nem perder a esperança. Venha connosco reerguer Portugal!",2019-07-29 14:29:26,154557,174653,2022-01-19 01:03:36 WET,2022-01-19,01:03:36,Link,"2,113",1709,146,170,52,3,2,7,4,20,,-,0,0,0,N/A,https://www.facebook.com/101269364554956/posts/656541562361064,"A verdade de que só o CHEGA fala, num país em que António Costa só vê maravilhas! https://poligrafo.sapo.pt/fact-check/andre-ventura-pagamos-a-quinta-gasolina-mais-cara-da-europa-verdadeiro-ou-falso",https://poligrafo.sapo.pt/fact-check/andre-ventura-pagamos-a-quinta-gasolina-mais-cara-da-europa-verdadeiro-ou-falso,,,"André Ventura: ""Pagamos a quinta gasolina mais cara da Europa"". Verdadeiro ou falso? - Polígrafo","A segunda tentativa bastou para André Ventura acertar na variável. No debate frente a Francisco Rodrigues dos Santos, o líder do Chega tinha referido que Portugal era o país da Europa com a quinta eletricidade mais cara. Mas esta segunda-feira, no debate a nove na RTP, Ventura corrigiu o tiro: ""...",,,,"2,113",1.25
CHEGA,PartidoChegaOficial,1989920374407828,ACTIVITY_GENERAL,PT,"O CHEGA quer ser a voz do cidadão comum! Perante os novos desafios futuros que iremos enfrentar, precisamos unirmos para reerguer Portugal! Contamos consigo para sermos uma só Voz e uma só Força! É hora dos portugueses dizerem CHEGA!",2018-10-23 22:50:31,128304,143730,2022-01-12 22:19:50 WET,2022-01-12,22:19:50,Photo,"1,840",1429,202,156,36,0,8,2,4,3,,-,0,0,0,N/A,https://www.facebook.com/1989920374407828/posts/4862858713780632,"APONTAMENTOS SOBRE O DEBATE CDS-CHEGA 1. Francisco Rodrigues dos Santos usou todos os argumentos da Esquerda contra André. No lugar dele poderia estar a Ana Gomes, tinha sido a mesma coisa. Mais: pelo que defendeu e pelo que atacou, demonstrou que o seu perfil é o da direita de quem a Esquerda gosta, contrariando a sua continuada profissão de fé dos últimos meses de se dizer um homem de Direita. 2. Foi insultuoso de forma gratuita e leviana. Onde está a Direita civilizada a que ele diz que pertence? 🙂 3. “Um esquadrão de cavalaria a galopar na sua cabeça não encontraria uma ideia”. Seria a frase de um tratador de cavalos, nunca a de um oficial de cavalaria. Infeliz a muitos títulos, mas principalmente a um: veio chamar a atenção para uma comparação de percursos académicos e profissionais distintos. De um lado Andre Ventura, que se licenciou em Direito, na Universidade Nova com 19 valores, se doutorou em Direito Público na U de Cork com a nota máxima, professor convidado da U Nova, inspector tributário e, depois, consultor na área fiscal de um grande Gabinete de advocacia Do outro FRS, licenciado em Direito e com uma carreira política na JP 4. Política de emigração, a do Papa Francisco, totalmente permissiva. Um apontamento: FRS não sabe que a um católico é permitido discordar do Paoa desde que não em matéria de Fé solenemente proclamada Ex Solio? Gritou, insultou, esbracejou. E, na minha opinião, desbaratou, nesta jornada inglória, o seu futuro político. Tenho pena, tinha por ele alguma simpatia. Diogo Pacheco de Amorim Director Nacional do Partido CHEGA!",https://www.facebook.com/PartidoChegaOficial/photos/a.1989937304406135/4862858663780637/?type=3,,,,,,,,"1,840",2.47
CHEGA,PartidoChegaOficial,1989920374407828,ACTIVITY_GENERAL,PT,"O CHEGA quer ser a voz do cidadão comum! Perante os novos desafios futuros que iremos enfrentar, precisamos unirmos para reerguer Portugal! Contamos consigo para sermos uma só Voz e uma só Força! É hora dos portugueses dizerem CHEGA!",2018-10-23 22:50:31,128334,143774,2022-01-13 14:58:50 WET,2022-01-13,14:58:50,Link,"1,608",1279,115,148,23,7,22,4,4,6,,-,0,0,0,N/A,https://www.facebook.com/1989920374407828/posts/4865892253477278,"A verdade que dói à direitinha de que a esquerda gosta! Ainda assim não vai optar por votar em quem efectivamente representa os Conservadores em Portugal?... [...] o CDS-PP votou 1.809 vezes ao lado do BE, 1.768 vezes ao lado do PCP, 1.693 vezes ao lado do PEV e 1.668 vezes ao lado do Livre e/ou (após a perda de confiança do partido) da deputada não inscrita Joacine Katar Moreira. [...] #CHEGA #AndréVentura #PorPortugalPelosPortugueses #UmPartidoUmLíderUmDestino #DitaduradeEsquerda #VenezuelizaçãodePortugal #SaveEurope",https://poligrafo.sapo.pt/fact-check/ventura-diz-que-cds-pp-votou-1-798-vezes-ao-lado-do-ps-na-ultima-legislatura-confirma-se,,,Ventura diz que CDS-PP votou 1.798 vezes ao lado do PS na última legislatura. Confirma-se? - Polígrafo,"No duelo entre André Ventura e Francisco Rodrigues dos Santos, o líder do Chega acusou o rival de ser de ""uma direita que se esqueceu de ser direita"" e, empunhando uma imagem com o número 1.798 entre as figuras de Rodrigues dos Santos e António Costa, sublinhou que esse terá sido o número de v...",,,,"1,608",2.46
CHEGA,PartidoChegaOficial,1989920374407828,ACTIVITY_GENERAL,PT,"O CHEGA quer ser a voz do cidadão comum! Perante os novos desafios futuros que iremos enfrentar, precisamos unirmos para reerguer Portugal! Contamos consigo para sermos uma só Voz e uma só Força! É hora dos portugueses dizerem CHEGA!",2018-10-23 22:50:31,128304,143730,2022-01-12 04:27:38 WET,2022-01-12,04:27:38,Photo,"1,378",1105,107,106,35,1,5,0,3,16,,-,0,0,0,N/A,https://www.facebook.com/1989920374407828/posts/4860622594004244,"Quando dizemos que caminhamos a passos largos para uma ditadura encapotada, não estamos ""tontinhos"" nem inventamos coisas. São factos e esses estão à vista de todos. As ditaduras começam pelo controlo da comunicação social, reparem no cerco e nos ataques que têm feito ao CHEGA. No domingo passado, tivemos mais um grande exemplo, esteve entre nós Santiago Abascal, líder do VOX, partido que as sondagens dão 20% em Espanha e que governará o país vizinho com o PP, juntámos 300 pessoas num almoço em Lisboa, quantas imagens foram vistas? Zero! No mesmo dia, Catarina Martins esteve em Ferreira do Alentejo, estavam 15 pessoas, teve direito a peças televisivas e até a um directo! Mais, António Costa levou uma tareia monumental no debate com André Ventura, no dia seguinte onde foi? Ao programa da Cristina, sem estar anunciado. E um terceiro exemplo, Rui Rio ordenou a quem for de direita que não votasse no PSD, que votasse no CDS (para os votos não irem para o CHEGA), o que aconteceu a partir daí? Francisco Rodrigues dos Santos todos os dias nas tvs e agora mesmo no programa da manhã. É isto! Não são invenções nem manias da perseguição, são factos concretos e indesmentíveis! O que eles não percebem é que somos feitos de outra fibra, os militantes do CHEGA sabem que temos uma missão a cumprir, temos que mudar Portugal, livrar o país das teias da corrupção e desta república gasta e maltratada, mesmo debaixo de todos os ataques mais vis, RESISTIREMOS e dia 30 um povo irá levantar-se, votar e dizer CHEGA! O sistema irá tremer e nunca mais será igual! Por Portugal! Pelos Portugueses! Pedro Pinto Secretário Geral do CHEGA - Cabeça de lista pelo Distrito de Faro #CHEGA",https://www.facebook.com/PartidoChegaOficial/photos/a.1989937304406135/4860622460670924/?type=3,,CHEGA,Photos from CHEGA's post,,,,,"1,378",1.85
Jornal de Notícias,jornalnoticias,216390522994,TOPIC_NEWSPAPER,PT,"Bem-vindo ao Facebook do Jornal de Notícias, um jornal de Portugal, de proximidade e de confiança.",2009-11-18 14:08:05,2268876,2284693,2022-01-25 16:51:01 WET,2022-01-25,16:51:01,Link,941,81,357,14,0,6,463,8,10,2,,-,0,0,0,N/A,https://www.facebook.com/216390522994/posts/10161845952222995,,https://www.jn.pt/nacional/lider-do-cds-ja-tem-propostas-para-quando-for-ministro-da-defesa-14525746.html,,,Líder do CDS já tem propostas para ″quando for ministro da Defesa″,"O presidente do CDS-PP, Francisco Rodrigues dos Santos, adiantou, esta segunda-feira, algumas das propostas que quer realizar ""quando for ministro da Defesa"" e reclamou que o seu partido ""sempre defendeu"" os ex-combatentes, sendo ""o original"" e não a cópia.",,,,941,8.63
Iniciativa Liberal,iniciativaliberal,282717852317261,POLITICAL_PARTY,PT,"Partido Iniciativa Liberal. Mais Liberdade Política, Social e Económica. Juntos somos alternativa por um Portugal Mais Liberal.",2018-08-22 19:59:20,105114,116817,2022-01-05 15:25:23 WET,2022-01-05,15:25:23,Photo,890,712,105,52,12,0,7,1,0,1,,-,0,0,0,N/A,https://www.facebook.com/282717852317261/posts/978324029423303,🔴🔵 O kick-off dos debates da Iniciativa Liberal é hoje 📺 RTP3 - 18:15 💥 João Cotrim Figueiredo vs Francisco Rodrigues dos Santos 📈 O FUTURO É LIBERAL #PortugalMaisLiberal,https://www.facebook.com/iniciativaliberal/photos/a.292960941292952/978323936089979/?type=3,,"RTP3 DEBATE HOJE, 18h15 20ਾ João Cotrim Figueiredo Francisco Rodrigues dos Santos iniciativa liberal PREPARADOS",,,,,,890,-1.09
