Page Name,User Name,Facebook Id,Page Category,Page Admin Top Country,Page Description,Page Created,Likes at Posting,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Is Video Owner?,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Sponsor Category,Total Interactions (weighted  —  Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x ),Overperforming Score
Camilo Lourenço,ACorDoDinheiroCL,917329228367601,ACTIVITY_GENERAL,PT,"Economia de todos, para todos.",2016-12-30 11:04:54,210300,307878,2022-01-25 08:00:25 WET,2022-01-25,08:00:25,Live Video Complete,"14,372",9072,2380,1874,915,21,24,16,39,31,owned,Yes,55346,65259,0,00:26:20,https://www.facebook.com/917329228367601/posts/1188921258309104,"Antes da ordem do dia: As multas para as faturas sem código QR😨 Ontem ouvi Marta Temido dizer que o PS tirou o país do programa de ajustamento😂 A dra. Luisa Salgueiro diz que a regionalização é irreversível; enganou-se no termo…😳 A Galp aumentou 16% o custo do carregamento de carros elétricos😳 Suspeito que já fica mais caro ter carro elétrico do que carro a gasóleo🤬 Pico da inflação em Portugal não deve ultrapassar 4%. E é pouco?😳 *Já viu este gráfico? É de fugir…! Sabe o que significa?🤬😳 **Há dias perguntei aqui porque o governo não divulgava os capitais próprios da TAP. Porque eram negativos. Agora veio a resposta…😉🙄 1 - António Costa diz agora que nunca fechou portas à esquerda. Qual António Costa?😂🙄 2 - Fui eu que disse “a geringonça não é possível”? E fui que disse esperar pela votação do PAN para decidir o futuro?🤮🤮 3 - Costa entrou em perda e agora quer arrepiar caminho: “disponível para negociar com todos menos Chega”…😵‍💫👎 4 - Se queria nova “geringonça”, porque não a defendeu desde o início?🙄😆 5 - O que se diz de uma pessoa assim? Que não tem princípios, certo?🤮🤢 6 - Marcelo deve estar apavorado com o cenário pós-eleições🙃🤢 7 - Mais uma polémica a envolver Inês Sousa Real: inseticidas e abelhões estrangeiros🤬🤢 8 - A Visão diz que estas informações foram apagadas da página de FB das duas empresas a dois dias da campanha eleitoral. Ai o PAN, ai o PAN…🤬🤬 9 - Os representantes da Cultura, que andaram a fazer fretes ao 1ºministro na 6ª feira, não sabem como está o setor? Frases da semana: “O BE instrumentaliza o racismo para fins políticos”. Ossanda Líber, vice-presidente do Aliança “Nunca vi o facto de ser negra como um handicap, bem pelo contrário” Aprendam!!!👏👏 Nota: Este canal tem uma parceria com a Prozis o que lhe dá acesso a descontos privilegiados. Assim, de 24/1/2022 até 30/1/2022 Novo ano com objetivos bem definidos! Para receber ofertas que incluem os seus suplementos favoritos só tem de colocar o cupão CAMILO no checkout da sua encomenda no site da Prozis. Tem ainda 10% de desconto direto sobre tudo aquilo que comprar. Em compras de 35€ - ofereço-lhe: 2x Sachet 100% Real Whey Protein - chocolate 2x Sachet 100% Real Whey isolate - baunilha Compra 65€ - ofereço-lhe um suplemento à escolha Coenzima Q10 30 mg 60 cápsulas moles ZMB6 - zinco + magnésio + B6 120 cápsulas Glucosamina & Condroitina 30 comprimidos Óxido de Magnésio 400 mg 60 cápsulas Essential Multivitamin 90 tabs",https://www.facebook.com/ACorDoDinheiroCL/videos/1188921258309104/,,,,,,,,"14,372",1.35
Camilo Lourenço,ACorDoDinheiroCL,917329228367601,ACTIVITY_GENERAL,PT,"Economia de todos, para todos.",2016-12-30 11:04:54,210172,307737,2022-01-21 08:00:55 WET,2022-01-21,08:00:55,Live Video Complete,"12,921",8260,2267,1410,848,21,28,26,28,33,owned,Yes,50402,55659,0,00:25:17,https://www.facebook.com/917329228367601/posts/2096622843825849,"Antes da ordem do dia: A receção a Inês Sousa Real em Beja🧐 Fernando Tordo vai emigrar se a direita ganhar: vá com Deus!😂 O que diz a “raiva” do PCP, pela voz de Bernardino Soares…😂 A imunidade parlamentar de Eduardo Cabrita e a reação de António Costa😵‍💫 Portugal está no Top3 dos países da OCDE que mais tributa empresas🤬 *As últimas sondagens e o que elas nos dizem…🤔 **A imagem de António Costa está a degradar-se.Não admira…🙄 1 - Costa está preocupado. Tem razões para isso…🧐 - tornou-se subitamente agressivo para com Livre e PAN - críticas de Manuel Alegre 2 - O que vale a postura de Costa na campanha?🤬 Agora não quero maioria-agora já quero… Agora quero o PAN-agora já não quero… Agora governo à Guterres-agora só governo se me derem o poder 3 - A grande manipulação: Marcelo é o avalista de uma maioria absoluta do PS? Nem pensar!😱😳 4 - Rio faltou ao debate da Rádio. Fez bem? Fez!😁👍 - Rio não gosta de debater - Rio gosta do feeling/contacto do povo 5 - A campanha de Rui Rio: muito bem pensada e ainda mais bem executada 👏👏 7 - O Conselho Economico e Social acha que mais casas livres dão direito a mais… bebés?😂😂 8 - Frase da semana: “A caça é uma das atividades que mais contribui para o declínio das espécies”. Inês Sousa Real Nota: Este canal tem uma parceria com a Prozis o que lhe dá acesso a descontos privilegiados. Assim, de 17/1/2021 até 23/1/2022… para receber de oferta um pack de essenciais para panquecas deliciosas pela manhã só tem de colocar o cupão CAMILO no checkout da sua encomenda no site da Prozis. Tem ainda 10% de desconto direto sobre tudo aquilo que comprar. Oferta de granola (mel) em compras de 35€ Oferta ainda de manteiga de amêndoa 250 g - em compras de 65€ Oferta ainda de Aveia integram em pó 1250 g (natural) - em compras de 90€ Oferta ainda de 12x H2O 9g Limão - em compras de 110€ Oferta ainda de waffles de baunilha s/ açúcar ou de chocolate s/ açúcar - em compras de 130€",https://www.facebook.com/ACorDoDinheiroCL/videos/2096622843825849/,,,,,,,,"12,921",1.21
Camilo Lourenço,ACorDoDinheiroCL,917329228367601,ACTIVITY_GENERAL,PT,"Economia de todos, para todos.",2016-12-30 11:04:54,209761,307171,2022-01-11 08:01:04 WET,2022-01-11,08:01:04,Live Video Complete,"12,330",8030,1930,1427,800,31,34,16,40,22,owned,Yes,50094,56883,0,00:28:39,https://www.facebook.com/917329228367601/posts/1293213354517138,"Antes da ordem do dia: Mariana Mortágua diz que o facto de o BES ser um banco privado favoreceu a corrupção. Hummm…!😂 E diz que a privatização do Novobanco. foi um desastre. Está baralhada com o calendário…😉 *A ministra da Administração Interna diz que vai haver horário diferenciado para os “isolados”😨😱 **Tinha de ser assim? A AR não se devia ter ocupado disto em 2021?😱😨 1 - O ministro Siza Vieira está “impressionado” com o desempenho da economia. Está a falar da Irlanda?Ah! Não, são as eleições…😂👎 2 - Os números das exportações são “impressionantes”. E os das importações? Já viu a manchete do DN de hoje?😉😵‍💫 3 - A propósito: também já viu a manchete do Negócios? O custo da dívida vai subir…😳😨 4 - Mais uma multa - e pesada - para Ricardo Salgado…👏👏 5 - A acusação é grave: enganaram os investidores👏🤭 6 - As pensões aumentaram ontem. Eleições a quanto obrigas…😳😵‍💫 7 - Ainda as pensões: o que os reformados não pagam, vai pagar você👉🤭 8 - Os debates eleitorais de ontem: Debate Inês Sousa Real vs Catarina Martins Sumário: Sousa Real tentou ligar Catarina à crise orçamental Debate Rui Rio- João Cotrim Figueiredo Sumário: parecia que negociavam um governo Debate Chicão vs Rui Tavares Sumário: Perdeu-se muito tempo com tretas… Nota: Este canal tem uma parceria com a Prozis o que lhe dá acesso a descontos privilegiados. Assim, de 10/1/2021 até 16/1/2022 Ofertas da semana com o meu cupão CAMILO no checkout da sua encomenda no site da Prozis. Tem ainda 10% de desconto direto sobre tudo aquilo que comprar. Compra 35€ - Ofereço-lhe 6x Sachet zero diet whey Compra 65€ - Ofereço-lhe + 6x Protein Snack Compra 95€ - Ofereço-lhe + Essencial Multivitamin",https://www.facebook.com/ACorDoDinheiroCL/videos/1293213354517138/,,,,,,,,"12,330",1.15
Camilo Lourenço,ACorDoDinheiroCL,917329228367601,ACTIVITY_GENERAL,PT,"Economia de todos, para todos.",2016-12-30 11:04:54,209536,306927,2022-01-05 08:00:41 WET,2022-01-05,08:00:41,Live Video Complete,"11,755",7466,1997,1341,793,23,48,20,42,25,owned,Yes,45815,50695,0,00:25:43,https://www.facebook.com/917329228367601/posts/1773786636344240,"Antes da ordem do dia: A inflação em 2021 ficou acima das previsões do Baco de Portugal👎 A nova variante da COVID-19😂 As ameaças a quem fala da COVID-19 e critica negacionistas e anti-vax🤮 Patrões, sindicatos e a semana de 4 dias😉 As manchetes do Público e DN…🤔 1 - António Costa quer semana de 4 dias. O 1º ministro tem de voltar a fazer exame de Introdução ao Estudo da Economia😉👎 2 - Isto é António Costa ignorante ou António Costa populista?🙄😳 3 - As empresas têm duas hipóteses:😱😨 - aumentam preços (para manter margens) - Ou baixam salários (para serem rentáveis) 4 - A jogada de Costa é clara: ter mais emprego, mas à custa de destruição de valor pelas empresas🤬🤮 5 - Costa acusou Rio de defender a prisão perpétua. Tem razão? Não!🤭🤔 6 - Vamos ouvir o que disse Costa…?🤔 E Costa? Não dormiu com um partido que apoia a Venezuela e Cuba?🤬 E não dormiu com outro que defende o regime norte-coreano😱 7 - Os debates eleitorais:😵‍💫🤭 - Rui Tavares vs Catarina Martins - reencontro de “ex-namorados”?😉 - António Costa vs. Jerónimo de Sousa - Jerónimo irreconhecível😱 - “Chicão” vs Inês Sousa Real - tareia merecida😂 Nota: Este canal tem uma parceria com a Prozis o que lhe dá acesso a descontos privilegiados. Assim, de 3/1/2022 até 9/1/2022 se usar o cupão CAMILO no checkout da sua encomenda no site da Prozis. Tem ainda 10% de desconto direto sobre tudo aquilo que comprar. Em compras de 35€ - Oferta de: Peanut butter creamy (salty) Em compras de 70€ - escolhe 1 suplemento: Vitamin K2-MK7 200mcg 60 caps Vitamin D3 800IU 120 softgels Vitamin C 1000 mg + Rose Hip 120 tabs Red Yeast Rice 2400 mg 120 caps Omega 3 EPA Plus 90 Softgels",https://www.facebook.com/ACorDoDinheiroCL/videos/1773786636344240/,,,"Semana de 4 dias? E as empresas, aumentam preços?",,,,,"11,755",1.1
Por Falar Noutra Coisa,PorFalarNoutraCoisa,100044315025046,COMEDIAN,PT,Blogue pessoal de tudo um pouco. A minha mãe diz que é giro por isso acho que deviam dar uma vista,2013-05-23 16:19:48,357299,364604,2022-01-18 12:25:21 WET,2022-01-18,12:25:21,Status,"5,642",2642,137,236,170,6,2435,0,0,16,,-,0,0,0,N/A,https://www.facebook.com/100044315025046/posts/484498006370696,"Só haverá democracia quando houver um debate com candidatos já embriagados. Aí é que se sabe o verdadeiro fundo e o que eles pensam. Proponho-me a criar um podcast em que converso com todos os candidatos, um a um, enquanto mamamos vinho, cerveja e aguardentes nacionais. Podemos adicionar chouriças e queijos para promover mais produtos nacionais. Para a Inês de Sousa Real dizemos que é chouriça de soja, mas não é. Ela está na política, está habituada a mentiras descaradas.",,,,,,,,,"5,642",1.21
André Ventura,AndreAmaralVentura,101269364554956,POLITICIAN,PT,"Portugal precisa de uma 4ª República! Só acordando os portugueses e trabalhando juntos poderemos ter sucesso neste desafio.

Não podemos desistir, nem perder a esperança. Venha connosco reerguer Portugal!",2019-07-29 14:29:26,154253,174255,2022-01-14 17:15:36 WET,2022-01-14,17:15:36,Photo,"4,441",3562,484,66,253,3,22,1,3,47,,-,0,0,0,N/A,https://www.facebook.com/101269364554956/posts/653789459302941,A caminho de Lisboa para debater com a líder do PAN - Pessoas Animais Natureza Não percam 🔥,https://www.facebook.com/AndreAmaralVentura/photos/a.125033022178590/653788652636355/?type=3,,,,,,,,"4,441",1.3
Francisco Rodrigues Dos Santos,franciscorsCDS,103048754955967,POLITICIAN,PT,Advogado e Presidente do CDS-PP,2020-11-09 20:50:06,13472,20675,2022-01-07 16:18:42 WET,2022-01-07,16:18:42,Native Video,"4,124",2676,438,631,188,7,150,9,16,9,owned,Yes,83054,88768,0,00:03:47,https://www.facebook.com/103048754955967/posts/380528977207942,"Tive a oportunidade de desmascarar o PAN e mostrar que são um partido animalista radical, com uma agenda ditatorial que quer destruir o mundo rural. O único partido que sempre defendeu o mundo rural em Portugal é o CDS. Fique com alguns dos melhores momentos do meu debate com a líder do PAN.",https://www.facebook.com/franciscorsCDS/videos/5113018715396208/,,,,,,,,"4,124",11.18
Sofia Afonso Ferreira,sofiaafonsoferreira,948278771911567,POLITICIAN,PT,Democracia21,2015-10-16 16:57:04,14543,14716,2022-01-24 20:35:44 WET,2022-01-24,20:35:44,Photo,"3,097",856,355,1527,16,21,30,40,247,5,,-,0,0,0,N/A,https://www.facebook.com/948278771911567/posts/6975320875873963,"Para além das estufas, a Red Fields, empresa associada a Inês Sousa Real do PAN, usou pesticidas sintéticos e altamente tóxicos para os humanos e para a natureza. E a cereja no topo do bolo, é que além disso também libertaram na produção uma subespécie de abelha considerada uma ameaça para as abelhas portuguesas. Na página de FB da empresa, estava o pedido à Direção-Geral de Alimentação e Veterinária (DGAV) de uma licença de utilização do Delegate 250 WG, um inseticida com spinetorame como substância ativa, para matar moscas da fruta (Drosophila suzukii). Dois dias antes do início da campanha eleitoral apagaram tudo. A informação vem de uma investigação da revista Visão. Depois de há uns meses ter na minha página denunciado diversas irregularidades às quais a líder do partido nunca respondeu, como a contratação e os salários dos empregados, desejo-lhe uns excelentes últimos dias de campanha e uma derrota pesada como mil colmeias no dia 30. Realmente na política não vale tudo e muito menos na agricultura. #Legislativas2022 PAN - Pessoas Animais Natureza",https://www.facebook.com/sofiaafonsoferreira/photos/a.950581785014599/6975312775874773/?type=3,,,,,,,,"3,097",8.28
PAN - Pessoas Animais Natureza,PANpartido,890462117681551,POLITICAL_ORGANIZATION,PT,Pessoas-Animais-Natureza,2015-05-17 20:36:09,165617,166630,2022-01-05 19:00:03 WET,2022-01-05,19:00:03,Link,"1,487",935,152,144,221,1,1,6,22,5,,-,0,0,0,N/A,https://www.facebook.com/890462117681551/posts/4848591028535287,"JOÃO MOURA ACUSADO DE 18 CRIMES DE MAUS-TRATOS ANIMAIS Depois de anos a abusar de animais – dentro e fora das praças de touros – finalmente João Moura foi acusado por 18 crimes de maus-tratos a animais, um dos quais agravado. Como afirma a nossa Porta-voz Inês de Sousa Real, “por força da alteração que conseguimos fazer ao Código Penal no início desta legislatura, com as circunstâncias agravantes, a pena de prisão é de dois anos e quatro meses, existindo neste caso um concurso real de crimes.” O PAN já tinha alertado para o trato que João Moura tinha para com os seus animais de companhia, deixando os seus cães a morrer à fome e em condições de vida lastimáveis, e estivemos ao lado das associações de proteção animal e anti-tourada que protestaram contra a sua condecoração em 2021. Agora, finalmente João Moura terá de responder em tribunal pelos seus crimes. Lê aqui a notícia completa 👉 https://www.jn.pt/justica/cavaleiro-joao-moura-acusado-de-18-crimes-de-maus-tratos-a-animais-14463543.html?utm_source=dlvr.it&utm_medium=twitter&fbclid=IwAR1t7jQEB7qXxyHIZeP_x4BQlDCdJqAoz8M4ypHuFC5mx71S9eVQabzXs8g",https://www.jn.pt/justica/cavaleiro-joao-moura-acusado-de-18-crimes-de-maus-tratos-a-animais-14463543.html?utm_source=dlvr.it&utm_medium=twitter,,,Cavaleiro João Moura acusado de 18 crimes de maus-tratos a animais,"O Ministério Público de Portalegre requereu o julgamento de João Moura por 18 crimes de maus tratos a animais de companhia, um dos quais agravado. A acusação surge após a descoberta de vários cães subnutridos na propriedade do ator. Um dos animais acabou mesmo por morrer.",,,,"1,487",11.44
António Gaspar,OLapisQueRi,129698694310044,ARTIST,PT,Cartoons ( Best Of ),2017-08-12 09:28:45,15249,16103,2022-01-10 12:12:14 WET,2022-01-10,12:12:14,Photo,"1,474",558,98,208,30,3,573,1,0,3,,-,0,0,0,N/A,https://www.facebook.com/129698694310044/posts/967649143848324,Caderneta de cromos Legislativas 2022. Cromo nº 1 : Inês de Sousa Real,https://www.facebook.com/OLapisQueRi/photos/a.129711700975410/967648207181751/?type=3,,PAN,,,,,,"1,474",1.57
